block_id,A,B,probability
0,43,1000,1.0
1,11,44444,1.0
2,43,1000,1.0
3,11,44444,1.0
4,11,44444,1.0
5,11,44444,1.0
6,11,44444,1.0
7,32,44444,1.0
8,11,44444,1.0
9,43,44444,1.0
10,11,44444,1.0
11,11,88,0.0
11,11,1000,0.0
11,11,44444,1.0
12,32,44444,1.0
13,11,44444,1.0
14,11,44444,1.0
15,11,44444,1.0
16,43,1000,1.0
17,32,44444,1.0
18,43,44444,1.0
19,11,44444,1.0
20,43,1000,1.0
21,11,44444,1.0
22,11,44444,1.0
23,32,44444,1.0
24,43,1000,1.0
25,11,44444,1.0
26,32,88,0.1
26,32,1000,0.4
26,32,44444,0.5
27,11,44444,1.0
28,11,44444,1.0
29,43,1000,1.0
30,43,1000,1.0
31,11,44444,1.0
32,43,44444,1.0
33,43,88,0.25
33,43,1000,0.25
33,43,44444,0.5
34,32,44444,1.0
35,43,44444,1.0
36,11,44444,1.0
37,43,44444,1.0
38,43,88,1.0
39,43,88,1.0
40,32,1000,1.0
41,43,1000,1.0
42,11,44444,1.0
43,43,88,0.25
43,43,1000,0.25
43,43,44444,0.5
44,43,44444,1.0
45,43,1000,1.0
46,11,44444,1.0
47,32,1000,1.0
48,11,44444,1.0
49,11,44444,1.0
50,11,44444,1.0
51,11,44444,1.0
52,11,44444,1.0
53,43,44444,1.0
54,43,1000,1.0
55,43,88,1.0
56,43,44444,1.0
57,11,44444,1.0
58,11,44444,1.0
59,43,1000,1.0
60,32,1000,1.0
61,43,88,1.0
62,43,88,0.25
62,43,1000,0.25
62,43,44444,0.5
63,11,44444,1.0
64,32,1000,1.0
65,43,44444,1.0
66,43,88,1.0
67,11,44444,1.0
68,32,88,1.0
69,11,44444,1.0
70,32,44444,1.0
71,11,88,0.0
71,11,1000,0.0
71,11,44444,1.0
72,43,44444,1.0
73,43,44444,1.0
74,32,88,1.0
75,11,44444,1.0
76,11,44444,1.0
77,32,1000,1.0
78,11,44444,1.0
79,43,44444,1.0
80,11,44444,1.0
81,11,44444,1.0
82,43,44444,1.0
83,11,44444,1.0
84,43,1000,1.0
85,11,44444,1.0
86,11,44444,1.0
87,11,44444,1.0
88,11,44444,1.0
89,32,88,1.0
90,11,44444,1.0
91,11,44444,1.0
92,32,44444,1.0
93,11,44444,1.0
94,11,44444,1.0
95,43,1000,1.0
96,11,44444,1.0
97,11,44444,1.0
98,32,88,1.0
99,11,44444,1.0
100,11,44444,1.0
101,43,88,1.0
102,32,1000,1.0
103,43,44444,1.0
104,11,88,0.0
104,11,1000,0.0
104,11,44444,1.0
105,11,44444,1.0
106,43,44444,1.0
107,11,88,0.0
107,11,1000,0.0
107,11,44444,1.0
108,11,44444,1.0
109,11,44444,1.0
110,11,44444,1.0
111,11,44444,1.0
112,11,44444,1.0
113,32,1000,1.0
114,11,88,0.0
114,11,1000,0.0
114,11,44444,1.0
115,43,88,0.25
115,43,1000,0.25
115,43,44444,0.5
116,11,44444,1.0
117,11,44444,1.0
118,43,88,1.0
119,11,44444,1.0
120,32,44444,1.0
121,32,1000,1.0
122,43,44444,1.0
123,11,44444,1.0
124,43,88,1.0
125,32,44444,1.0
126,11,44444,1.0
127,43,44444,1.0
128,43,88,1.0
129,43,44444,1.0
130,43,44444,1.0
131,11,44444,1.0
132,11,44444,1.0
133,11,44444,1.0
134,43,44444,1.0
135,43,44444,1.0
136,43,44444,1.0
137,11,44444,1.0
