A,B
11,44444
11,44444
32,1000
43,88
11,44444
43,1000
43,1000
11,44444
32,1000
11,44444
43,88
43,44444
43,88
11,44444
11,44444
11,44444
43,44444
32,1000
11,44444
32,1000
11,44444
11,44444
43,88
43,44444
32,44444
11,44444
43,88
11,44444
11,44444
11,44444
11,44444
43,1000
43,44444
11,44444
11,44444
43,44444
43,44444
11,44444
11,44444
32,1000
11,44444
43,88
11,44444
32,44444
11,44444
32,44444
32,1000
32,1000
43,1000
32,1000
11,44444
43,1000
11,44444
32,44444
43,88
32,1000
32,1000
11,44444
11,44444
11,44444
11,44444
32,1000
32,1000
11,44444
11,44444
43,44444
11,44444
43,44444
32,1000
43,88
11,44444
32,44444
32,44444
43,88
11,44444
32,1000
43,88
32,44444
43,1000
43,1000
43,1000
11,44444
11,44444
43,44444
43,44444
11,44444
43,1000
32,88
11,44444
11,44444
11,44444
32,44444
11,44444
32,1000
11,44444
43,44444
11,44444
11,44444
43,1000
43,88
32,44444
43,44444
43,44444
32,1000
11,44444
32,1000
32,44444
11,44444
43,88
32,1000
43,44444
11,44444
43,44444
32,1000
32,44444
11,44444
11,44444
11,44444
11,44444
32,44444
11,44444
11,44444
43,1000
11,44444
32,1000
11,44444
11,44444
11,44444
43,44444
11,44444
32,44444
43,44444
11,44444
11,44444
43,1000
43,88
43,44444
43,1000
43,44444
11,44444
32,1000
43,44444
11,44444
11,44444
43,44444
11,44444
43,44444
43,44444
43,1000
32,88
11,44444
43,1000
11,44444
43,44444
43,44444
43,1000
11,44444
32,44444
43,88
11,44444
43,88
43,44444
11,44444
11,44444
32,44444
32,44444
32,88
32,44444
32,1000
43,44444
32,44444
43,1000
11,44444
32,44444
11,44444
43,44444
11,44444
32,44444
43,44444
11,44444
32,44444
43,1000
11,44444
32,44444
32,44444
43,1000
43,88
43,44444
43,44444
32,1000
43,44444
32,44444
43,44444
32,44444
11,44444
11,44444
32,1000
32,1000
11,44444
11,44444
11,44444
43,88
43,1000
11,44444
43,88
43,44444
32,88
32,1000
11,44444
32,1000
11,44444
43,88
43,44444
11,44444
11,44444
11,44444
32,44444
11,44444
11,44444
11,44444
43,44444
11,44444
32,1000
11,44444
11,44444
11,44444
43,44444
11,44444
32,1000
11,44444
43,88
43,44444
43,88
43,1000
11,44444
43,1000
43,88
11,44444
43,44444
11,44444
11,44444
11,44444
43,88
11,44444
11,44444
11,44444
32,44444
11,44444
11,44444
11,44444
11,44444
32,1000
11,44444
11,44444
32,1000
11,44444
11,44444
43,44444
11,44444
43,44444
11,44444
11,44444
43,44444
43,88
11,44444
43,1000
11,44444
32,1000
11,44444
11,44444
11,44444
11,44444
32,88
43,88
43,44444
32,1000
11,44444
11,44444
43,44444
11,44444
11,44444
11,44444
43,88
32,1000
11,44444
43,88
43,1000
11,44444
11,44444
11,44444
11,44444
11,44444
11,44444
43,88
43,44444
11,44444
43,88
32,1000
11,44444
32,1000
43,44444
43,88
11,44444
11,44444
11,44444
11,44444
32,1000
11,44444
32,1000
11,44444
32,44444
43,44444
11,44444
32,1000
11,44444
