block_id,A,B,C,probability
0,2,98,4,0.0
0,2,98,15,0.0
0,2,98,78,0.42857142857142855
0,2,98,123,0.14285714285714285
0,2,98,245,0.42857142857142855
1,2,98,15,1.0
2,20,24,4,1.0
3,18,3,78,1.0
4,20,3,123,1.0
5,20,14,4,1.0
6,20,98,4,0.0
6,20,98,15,0.0
6,20,98,78,0.42857142857142855
6,20,98,123,0.42857142857142855
6,20,98,245,0.14285714285714285
7,20,24,245,1.0
8,18,24,123,1.0
9,18,24,4,0.0
9,18,24,15,0.0
9,18,24,78,0.3333333333333333
9,18,24,123,0.3333333333333333
9,18,24,245,0.3333333333333333
10,2,3,78,1.0
11,2,24,78,1.0
12,18,14,245,1.0
13,18,14,4,1.0
14,18,24,4,0.0
14,18,24,15,0.0
14,18,24,78,0.3333333333333333
14,18,24,123,0.3333333333333333
14,18,24,245,0.3333333333333333
15,18,3,15,1.0
16,20,98,78,1.0
17,13,14,123,1.0
18,18,98,78,1.0
19,18,3,4,1.0
20,2,3,15,1.0
21,18,3,4,0.0
21,18,3,15,0.0
21,18,3,78,0.42857142857142855
21,18,3,123,0.14285714285714285
21,18,3,245,0.42857142857142855
22,20,24,15,1.0
23,18,3,15,1.0
24,13,98,15,1.0
25,20,3,123,1.0
26,18,3,4,0.0
26,18,3,15,0.0
26,18,3,78,0.42857142857142855
26,18,3,123,0.14285714285714285
26,18,3,245,0.42857142857142855
27,20,24,78,1.0
28,20,24,15,1.0
29,20,24,78,1.0
30,20,98,4,0.0
30,20,98,15,0.0
30,20,98,78,0.42857142857142855
30,20,98,123,0.42857142857142855
30,20,98,245,0.14285714285714285
31,13,24,4,1.0
32,13,98,78,1.0
33,13,24,78,1.0
34,13,24,78,1.0
35,18,24,15,1.0
36,18,24,78,1.0
37,20,3,4,0.0
37,20,3,15,0.0
37,20,3,78,0.42857142857142855
37,20,3,123,0.42857142857142855
37,20,3,245,0.14285714285714285
38,18,14,15,1.0
39,13,3,123,1.0
40,18,3,15,1.0
41,20,14,4,0.0
41,20,14,15,0.0
41,20,14,78,0.3333333333333333
41,20,14,123,0.3333333333333333
41,20,14,245,0.3333333333333333
42,2,98,4,0.0
42,2,98,15,0.0
42,2,98,78,0.42857142857142855
42,2,98,123,0.14285714285714285
42,2,98,245,0.42857142857142855
43,20,14,123,1.0
44,13,24,4,1.0
45,2,3,245,1.0
46,18,14,15,1.0
47,13,3,123,1.0
48,13,24,4,1.0
49,20,24,4,0.0
49,20,24,15,0.0
49,20,24,78,0.3333333333333333
49,20,24,123,0.3333333333333333
49,20,24,245,0.3333333333333333
50,2,14,78,1.0
51,20,98,4,0.0
51,20,98,15,0.0
51,20,98,78,0.42857142857142855
51,20,98,123,0.42857142857142855
51,20,98,245,0.14285714285714285
52,20,14,4,1.0
53,18,98,245,1.0
54,18,14,4,0.0
54,18,14,15,0.0
54,18,14,78,0.3333333333333333
54,18,14,123,0.3333333333333333
54,18,14,245,0.3333333333333333
55,20,24,4,0.0
55,20,24,15,0.0
55,20,24,78,0.3333333333333333
