A,B,C,IC
20,24,100,0
18,98,100,0
13,14,1,0
2,24,1,1
2,3,1,1
2,24,1,0
2,3,100,0
18,24,100,0
18,24,1,0
20,14,100,0
20,98,100,0
2,14,1,0
2,3,1,0
18,3,1,0
18,3,1,0
20,3,1,0
20,24,1,0
2,14,1,0
13,24,1,0
18,98,1,0
20,24,100,0
2,14,1,0
20,14,1,0
20,24,1,0
20,98,100,0
2,14,1,0
18,3,1,0
13,24,1,0
13,3,1,0
13,3,100,0
2,3,100,0
13,24,1,0
2,24,1,0
13,3,100,0
18,98,1,0
2,14,1,0
13,24,100,1
2,3,1,0
20,24,1,0
18,3,1,0
13,24,1,0
18,24,1,0
2,24,1,0
18,24,1,0
20,3,100,0
18,3,1,0
2,14,100,0
20,24,1,0
13,24,1,0
18,24,1,0
13,98,1,0
20,3,100,0
20,98,1,0
18,24,1,0
20,14,100,0
13,98,1,0
13,14,1,0
18,98,100,1
2,24,100,0
20,14,1,0
13,14,1,0
18,98,100,0
13,14,100,0
13,14,100,0
13,3,1,0
18,14,1,0
20,24,1,0
18,98,100,0
2,14,1,0
2,24,100,0
18,98,100,0
18,24,1,1
20,98,1,0
20,24,1,0
18,3,1,0
20,14,1,0
20,14,1,0
13,98,1,0
13,24,1,0
18,14,1,0
18,24,100,0
2,24,100,0
20,24,1,0
13,24,100,0
2,14,100,1
13,14,1,0
13,24,1,0
18,24,100,0
18,3,1,0
18,24,100,0
13,14,1,0
20,24,100,0
18,14,1,0
13,98,1,0
18,24,100,0
18,14,100,0
18,3,1,0
18,3,1,0
13,14,100,0
13,24,1,0
2,24,100,1
18,3,1,0
13,3,100,1
18,14,1,0
13,14,1,0
13,24,100,0
2,98,1,0
18,98,100,0
20,3,1,0
20,98,1,0
18,24,100,0
18,14,1,0
18,24,100,0
20,24,100,0
18,3,1,0
2,98,100,0
2,3,100,0
18,3,1,0
2,3,1,0
18,24,100,0
20,3,1,0
13,14,1,0
20,3,1,0
20,14,1,0
18,98,1,0
20,24,1,0
2,14,1,1
18,3,100,0
13,98,100,0
18,14,1,0
20,3,100,0
13,24,1,0
18,14,100,0
13,3,1,0
20,3,100,0
13,3,100,0
13,24,1,0
20,14,100,0
18,98,1,0
18,14,1,0
20,3,1,0
13,98,1,1
2,24,1,0
13,3,1,0
18,3,1,0
18,3,1,0
2,14,100,0
20,3,1,0
13,14,1,0
20,24,1,0
13,14,1,1
18,24,100,1
18,14,1,0
20,24,100,0
2,3,1,0
13,3,1,0
18,14,100,0
20,24,1,0
2,98,1,0
18,24,100,0
2,14,1,0
18,14,1,0
20,14,1,0
13,14,1,0
2,24,1,1
20,24,100,0
18,14,100,0
18,98,100,0
20,24,1,0
18,3,100,0
13,98,1,0
13,3,100,1
18,98,1,0
20,98,1,0
13,14,1,0
13,24,1,0
20,24,1,0
20,3,1,0
18,3,100,0
20,24,1,0
13,24,100,0
13,3,1,0
20,98,1,0
13,24,1,0
13,24,1,0
18,98,100,0
13,98,100,0
2,98,1,0
2,3,1,0
20,98,100,0
18,24,100,0
20,24,1,0
20,3,1,0
13,3,1,0
13,3,100,0
13,98,1,0
18,14,1,0
13,3,100,0
20,14,1,0
13,24,100,0
2,24,1,0
18,3,1,0
2,14,1,0
20,98,1,0
2,14,1,0
20,14,1,0
2,98,1,0
2,14,100,0
2,14,1,0
18,3,1,0
20,98,1,0
18,3,100,0
2,14,1,0
13,3,100,0
13,14,100,0
20,98,100,0
18,14,1,0
18,3,100,0
2,24,1,0
20,3,1,0
20,24,1,0
2,24,1,0
2,3,1,0
13,3,1,0
20,3,1,0
18,24,1,0
2,3,1,1
18,98,1,0
13,3,100,0
2,3,1,0
20,24,1,0
18,98,1,0
2,24,100,0
13,24,1,1
20,3,100,0
13,24,1,0
20,98,1,0
20,14,1,0
20,24,100,0
18,98,1,0
18,14,100,0
13,24,1,1
13,24,1,0
2,3,1,0
20,14,1,0
18,3,1,1
20,14,1,0
2,98,1,0
20,14,1,0
18,3,100,0
20,24,1,0
18,14,1,0
18,24,100,0
13,24,1,0
18,24,100,0
20,3,100,0
18,3,100,1
18,24,1,0
18,24,1,0
18,14,1,0
13,24,1,0
18,3,1,0
20,24,1,0
18,3,100,0
13,98,100,0
18,3,1,0
2,14,100,1
18,3,100,0
2,24,100,1
18,14,100,0
13,24,1,0
18,14,1,0
20,24,100,0
18,3,1,0
18,3,100,0
13,3,1,0
2,3,1,1
20,3,1,0
18,98,100,0
2,14,1,0
13,24,1,0
20,3,100,0
18,24,1,0
18,98,1,0
2,98,100,0
13,24,100,0
13,24,1,0
20,14,100,0
20,14,1,0
18,98,1,0
13,14,1,0
18,14,1,0
18,24,100,0
2,98,1,1
20,24,100,0
18,24,1,0
20,24,100,0
18,3,1,0
18,98,100,0
2,98,100,0
