A,B,C
13,3,1
13,3,1
13,3,1
13,24,1
18,98,100
18,98,100
18,14,100
20,24,1
20,3,1
18,3,1
13,24,1
18,98,100
20,24,1
13,3,1
18,24,1
20,98,1
18,3,1
20,14,1
2,98,100
2,24,100
20,24,100
18,98,1
20,24,100
13,24,1
20,98,1
20,98,100
18,14,1
18,3,100
20,3,1
13,14,1
18,3,100
18,98,1
2,3,100
13,14,1
2,3,100
20,98,1
2,3,1
20,24,100
20,24,1
20,3,1
13,24,1
13,98,1
13,3,1
20,24,1
13,3,1
13,24,100
2,14,1
13,14,1
13,3,1
20,3,1
13,24,1
2,3,100
18,3,100
13,3,1
18,24,1
20,98,1
20,98,1
20,24,1
18,24,100
18,98,1
18,98,1
18,14,1
20,98,100
18,3,1
20,24,1
13,3,1
18,98,100
18,3,1
18,24,1
18,24,1
2,24,100
2,14,1
13,3,1
20,3,1
18,3,1
2,24,1
13,24,1
18,14,1
2,98,1
13,14,1
18,14,1
13,24,1
2,3,1
18,14,1
18,14,100
2,98,1
20,24,100
18,3,1
13,3,1
2,24,1
13,98,1
2,24,1
13,14,100
20,3,1
2,24,1
20,98,1
13,14,100
20,98,1
2,3,1
13,3,1
2,24,1
20,98,1
20,24,100
20,98,1
18,3,1
18,3,1
2,3,1
20,3,1
18,3,1
13,3,100
20,24,100
2,98,100
2,24,1
18,14,1
20,24,1
13,24,1
2,24,100
18,24,1
2,98,1
13,3,1
13,14,1
18,24,1
20,98,100
13,3,1
20,24,1
20,3,1
18,14,1
2,24,1
20,24,1
20,14,1
13,3,1
18,3,1
20,3,100
13,3,1
13,14,100
13,3,100
18,24,100
13,98,1
18,3,1
20,14,1
18,98,1
20,24,1
18,24,1
13,24,1
18,98,1
20,3,1
20,98,1
2,14,100
13,24,1
20,3,1
20,24,1
2,98,1
20,98,100
18,98,1
18,98,1
13,3,100
2,98,1
20,14,100
20,24,100
18,3,100
20,24,100
18,98,100
20,24,1
13,24,1
20,24,100
2,24,1
2,24,1
13,24,1
2,98,1
20,98,1
13,14,1
13,98,1
18,3,1
18,3,1
18,3,1
18,24,100
20,3,100
18,24,100
13,98,1
13,14,1
18,3,1
20,3,1
2,3,1
20,24,1
20,14,1
13,14,1
20,14,1
18,3,100
13,24,100
18,3,1
20,3,100
20,98,100
13,14,1
13,3,1
18,14,100
2,14,100
13,14,1
18,98,1
2,14,1
20,3,1
13,14,1
20,24,1
2,24,1
20,24,100
18,3,100
20,98,100
2,14,1
2,98,100
18,24,100
2,98,100
20,24,100
13,24,1
2,24,1
2,3,100
20,3,100
13,14,100
20,24,1
13,3,1
18,3,1
20,98,1
2,3,1
20,98,1
2,24,1
18,3,1
2,3,100
18,3,100
13,24,1
2,3,1
13,3,100
18,3,1
2,14,1
20,3,100
20,98,1
13,3,100
13,24,1
2,3,100
13,14,1
2,24,100
2,14,1
13,3,100
13,24,1
18,98,100
2,98,1
20,14,1
18,3,1
20,14,1
20,24,100
18,14,1
13,3,1
2,3,1
13,98,1
18,14,100
18,98,100
20,3,1
20,24,1
20,14,1
2,24,100
2,24,1
18,14,1
20,98,1
18,24,1
13,14,1
20,24,1
20,3,100
13,24,1
20,14,100
18,3,1
13,24,1
20,98,1
13,14,1
18,98,100
20,98,1
2,98,100
20,24,1
20,24,1
18,24,100
20,98,1
20,98,1
20,3,1
18,98,1
2,3,1
13,14,100
20,14,1
18,3,1
13,98,1
20,24,1
2,3,1
2,24,1
20,24,1
13,3,1
13,14,100
20,24,100
20,98,1
2,3,1
13,24,1
13,98,100
13,3,100
2,24,100
18,14,100
18,3,1
