block_id,A,B,C,probability
0,13,3,1,0.021684543754521446
0,13,3,100,0.9783154562454787
1,2,24,100,1.0
2,18,98,1,1.0
3,20,98,1,1.0
4,13,14,1,1.0
5,2,98,1,1.0
6,20,3,1,1.0
7,13,14,1,1.0
8,18,24,1,1.0
9,13,14,1,1.0
10,20,14,1,1.0
11,2,98,1,1.0
12,13,98,100,1.0
13,2,14,1,1.0
14,2,24,1,1.0
15,20,3,1,1.0
16,20,24,100,1.0
17,18,24,1,1.0
18,18,24,1,0.021684543754521446
18,18,24,100,0.9783154562454787
19,20,14,1,0.03332998719280008
19,20,14,100,0.9666700128071999
20,18,98,100,1.0
21,18,3,1,1.0
22,18,3,100,1.0
23,2,98,1,1.0
24,13,24,1,1.0
25,13,24,1,1.0
26,13,14,1,1.0
27,18,3,1,1.0
28,13,14,100,1.0
29,18,3,1,1.0
30,13,98,1,1.0
31,20,3,100,1.0
32,13,14,100,1.0
33,18,24,1,1.0
34,18,3,100,1.0
35,20,24,100,1.0
36,13,24,1,1.0
37,20,24,1,1.0
38,18,3,100,1.0
39,20,24,1,1.0
40,20,3,1,1.0
41,18,3,1,1.0
42,2,98,1,1.0
43,13,14,1,1.0
44,2,98,100,1.0
45,20,14,100,1.0
46,18,3,100,1.0
47,13,24,1,1.0
48,20,98,1,1.0
49,20,24,100,1.0
50,20,14,1,1.0
51,20,98,1,0.021684543754521446
51,20,98,100,0.9783154562454787
52,2,3,1,0.021684543754521446
52,2,3,100,0.9783154562454787
53,18,3,100,1.0
54,2,14,100,1.0
55,18,98,100,1.0
56,18,3,1,1.0
57,2,3,1,1.0
58,20,24,100,1.0
59,18,14,1,1.0
60,18,3,1,1.0
61,20,24,1,1.0
62,2,24,100,1.0
63,18,14,1,0.021684543754521446
63,18,14,100,0.9783154562454787
64,20,3,100,1.0
65,13,14,1,1.0
66,13,14,1,1.0
67,13,14,1,1.0
68,2,3,1,1.0
69,13,3,100,1.0
70,18,14,1,1.0
71,20,24,1,1.0
72,18,24,100,1.0
73,18,24,1,1.0
74,13,3,1,1.0
75,18,14,1,1.0
76,13,98,1,1.0
77,20,24,100,1.0
78,2,24,1,0.021684543754521446
78,2,24,100,0.9783154562454787
79,18,3,1,1.0
80,20,3,1,1.0
81,2,14,100,1.0
82,20,3,1,0.03332998719280008
82,20,3,100,0.9666700128071999
83,2,14,100,1.0
84,2,24,1,1.0
85,20,3,1,1.0
86,2,3,1,1.0
87,18,24,100,1.0
88,13,24,1,1.0
89,13,24,100,1.0
90,18,24,1,1.0
91,18,24,1,1.0
92,18,24,100,1.0
93,2,3,1,1.0
94,18,14,1,1.0
95,20,24,1,1.0
96,20,3,100,1.0
97,20,3,100,1.0
98,20,98,1,1.0
99,2,24,1,1.0
100,18,3,100,1.0
101,2,24,1,1.0
102,20,98,100,1.0
103,20,14,1,1.0
104,2,3,1,0.021684543754521446
104,2,3,100,0.9783154562454787
105,13,24,100,1.0
106,18,24,1,1.0
107,2,3,1,1.0
108,13,3,100,1.0
109,20,3,1,1.0
110,2,24,1,1.0
111,18,14,100,1.0
112,13,3,1,1.0
113,18,24,1,0.021684543754521446
113,18,24,100,0.9783154562454787
114,18,24,1,0.021684543754521446
114,18,24,100,0.9783154562454787
115,2,3,1,1.0
116,13,3,1,1.0
117,20,14,1,1.0
118,20,3,1,1.0
119,18,3,1,1.0
120,18,24,100,1.0
121,13,98,1,1.0
122,18,24,1,1.0
123,18,14,1,1.0
124,20,14,1,1.0
125,13,14,1,1.0
126,18,24,100,1.0
127,18,3,1,1.0
128,20,24,1,0.021684543754521446
128,20,24,100,0.9783154562454787
129,2,24,100,1.0
130,18,3,100,1.0
131,20,14,1,1.0
132,20,24,1,0.021684543754521446
132,20,24,100,0.9783154562454787
133,20,98,1,1.0
134,13,24,1,1.0
135,2,98,100,1.0
136,20,14,100,1.0
137,20,98,1,1.0
138,2,24,100,1.0
139,20,98,1,0.021684543754521446
139,20,98,100,0.9783154562454787
140,20,98,100,1.0
141,18,3,1,1.0
142,18,98,1,1.0
143,2,14,100,1.0
144,2,14,1,1.0
145,20,3,1,1.0
146,2,14,1,1.0
147,20,24,1,1.0
148,20,14,100,1.0
149,18,14,1,1.0
150,2,14,100,1.0
151,2,24,1,1.0
152,20,24,1,1.0
153,13,3,100,1.0
154,20,24,1,1.0
155,18,98,1,1.0
156,2,14,1,1.0
157,18,24,1,1.0
158,20,24,1,1.0
159,13,3,1,1.0
160,18,3,1,1.0
161,13,98,1,1.0
162,2,24,1,1.0
163,18,98,1,1.0
164,2,24,1,1.0
165,2,14,1,1.0
166,20,24,1,1.0
167,13,3,1,1.0
168,13,98,1,1.0
169,18,3,1,1.0
170,20,24,1,1.0
171,18,24,1,1.0
172,13,3,1,1.0
173,18,98,1,1.0
174,18,98,1,1.0
175,20,14,1,0.03332998719280008
175,20,14,100,0.9666700128071999
176,18,3,100,1.0
177,18,14,100,1.0
178,2,3,100,1.0
179,13,98,1,1.0
180,13,24,1,1.0
181,2,24,1,1.0
182,20,24,100,1.0
183,20,14,100,1.0
184,20,24,1,0.021684543754521446
184,20,24,100,0.9783154562454787
185,18,14,1,1.0
186,13,3,100,1.0
187,20,24,100,1.0
188,13,98,1,0.021684543754521446
188,13,98,100,0.9783154562454787
189,18,3,1,1.0
190,20,3,1,0.03332998719280008
190,20,3,100,0.9666700128071999
191,18,3,1,1.0
192,2,98,100,1.0
193,18,24,1,0.021684543754521446
193,18,24,100,0.9783154562454787
194,13,24,1,1.0
195,13,14,100,1.0
196,20,98,1,1.0
