A,B
10,13
23,100
23,100
10,13
10,55
23,100
23,100
23,100
23,100
10,13
23,100
10,13
10,13
10,13
10,13
10,13
10,13
23,13
10,13
21,55
23,100
10,13
10,13
23,100
10,13
23,100
10,13
10,13
21,55
21,55
23,55
23,100
21,55
23,100
23,100
10,13
21,55
23,100
10,100
10,13
23,100
23,100
23,100
10,13
23,100
23,100
10,55
21,55
23,100
10,55
23,100
23,100
10,55
21,55
23,100
10,13
10,13
23,100
23,100
21,55
10,13
23,100
23,55
10,13
23,100
10,13
21,55
10,55
10,13
23,100
10,13
10,13
10,13
10,13
10,13
10,13
10,13
23,100
23,100
23,100
10,13
10,13
23,13
23,13
23,13
10,13
10,13
23,100
10,13
21,55
23,100
21,55
21,55
10,13
10,13
10,13
21,55
21,100
10,13
23,13
23,100
21,100
21,55
10,13
23,100
10,13
10,13
21,55
10,55
10,13
10,13
10,100
21,55
10,13
21,55
21,55
10,13
10,13
10,13
10,13
21,55
10,13
10,13
10,100
10,13
10,55
23,100
10,13
21,55
23,100
23,100
10,13
10,13
23,100
23,13
23,100
21,55
23,100
21,55
21,55
23,100
23,100
21,55
21,55
21,55
23,100
21,55
10,13
21,13
21,55
23,100
23,100
10,13
10,13
10,13
10,13
21,100
10,13
21,13
21,55
10,13
23,100
21,55
23,100
10,13
21,55
21,55
23,100
10,55
10,13
21,55
23,100
10,13
10,55
10,13
21,13
10,13
21,55
10,13
10,13
21,100
10,13
10,13
21,13
23,55
23,13
23,100
10,13
10,13
10,13
10,13
23,55
21,100
10,13
10,13
23,13
10,13
21,100
10,13
21,55
10,13
10,13
23,13
10,13
10,13
21,13
10,13
10,13
23,100
10,100
23,55
23,100
23,100
21,55
21,55
10,13
21,55
10,13
23,100
10,13
10,13
21,55
23,55
10,100
10,13
23,100
23,100
10,13
21,13
23,100
21,55
10,55
10,13
10,13
23,100
10,13
23,100
21,55
21,55
21,55
10,13
10,13
23,100
10,13
23,100
21,55
23,100
10,13
23,100
10,13
10,13
10,13
10,13
23,100
10,13
10,13
10,55
23,100
23,55
10,13
10,13
23,13
21,55
10,13
23,100
23,100
10,55
10,13
10,13
10,100
23,100
10,13
23,55
10,13
23,100
23,100
23,100
23,55
10,13
10,13
10,13
10,13
21,55
10,13
10,55
21,55
10,13
21,55
10,13
10,13
10,13
21,55
23,100
10,55
10,13
10,55
10,13
21,55
23,100
10,13
