A,B,IB
10,13,0
23,100,0
23,100,0
10,13,0
10,55,0
23,100,1
23,100,0
23,100,1
23,100,1
10,13,0
23,100,0
10,13,0
10,13,0
10,13,0
10,13,0
10,13,0
10,13,0
23,13,0
10,13,0
21,55,0
23,100,0
10,13,0
10,13,0
23,100,0
10,13,0
23,100,0
10,13,0
10,13,0
21,55,0
21,55,0
23,55,0
23,100,0
21,55,0
23,100,0
23,100,0
10,13,0
21,55,0
23,100,0
10,100,0
10,13,0
23,100,0
23,100,0
23,100,1
10,13,0
23,100,1
23,100,0
10,55,0
21,55,0
23,100,1
10,55,0
23,100,0
23,100,0
10,55,0
21,55,0
23,100,0
10,13,0
10,13,0
23,100,0
23,100,0
21,55,0
10,13,0
23,100,0
23,55,0
10,13,0
23,100,0
10,13,0
21,55,0
10,55,0
10,13,0
23,100,0
10,13,0
10,13,0
10,13,0
10,13,0
10,13,0
10,13,0
10,13,0
23,100,0
23,100,1
23,100,0
10,13,0
10,13,0
23,13,0
23,13,0
23,13,0
10,13,0
10,13,0
23,100,0
10,13,0
21,55,0
23,100,1
21,55,0
21,55,0
10,13,0
10,13,0
10,13,0
21,55,0
21,100,0
10,13,0
23,13,0
23,100,0
21,100,0
21,55,0
10,13,0
23,100,0
10,13,0
10,13,0
21,55,0
10,55,0
10,13,0
10,13,0
10,100,0
21,55,0
10,13,0
21,55,0
21,55,0
10,13,0
10,13,0
10,13,0
10,13,0
21,55,0
10,13,0
10,13,0
10,100,0
10,13,0
10,55,0
23,100,0
10,13,0
21,55,0
23,100,1
23,100,0
10,13,0
10,13,0
23,100,0
23,13,1
23,100,0
21,55,0
23,100,1
21,55,0
21,55,0
23,100,0
23,100,0
21,55,0
21,55,0
21,55,0
23,100,0
21,55,0
10,13,0
21,13,0
21,55,0
23,100,0
23,100,0
10,13,0
10,13,0
10,13,0
10,13,0
21,100,0
10,13,0
21,13,0
21,55,0
10,13,0
23,100,1
21,55,0
23,100,0
10,13,0
21,55,0
21,55,0
23,100,0
10,55,0
10,13,0
21,55,0
23,100,0
10,13,0
10,55,0
10,13,0
21,13,0
10,13,0
21,55,0
10,13,0
10,13,0
21,100,0
10,13,0
10,13,0
21,13,0
23,55,0
23,13,1
23,100,0
10,13,0
10,13,0
10,13,0
10,13,0
23,55,0
21,100,0
10,13,0
10,13,0
23,13,0
10,13,0
21,100,0
10,13,0
21,55,0
10,13,0
10,13,0
23,13,1
10,13,0
10,13,0
21,13,0
10,13,0
10,13,0
23,100,1
10,100,0
23,55,1
23,100,0
23,100,0
21,55,0
21,55,0
10,13,0
21,55,0
10,13,0
23,100,1
10,13,0
10,13,0
21,55,0
23,55,1
10,100,0
10,13,0
23,100,0
23,100,0
10,13,0
21,13,0
23,100,0
21,55,0
10,55,0
10,13,0
10,13,0
23,100,0
10,13,0
23,100,1
21,55,0
21,55,0
21,55,0
10,13,0
10,13,0
23,100,0
10,13,0
23,100,0
21,55,0
23,100,0
10,13,0
23,100,0
10,13,0
10,13,0
10,13,0
10,13,0
23,100,0
10,13,0
10,13,0
10,55,0
23,100,0
23,55,1
10,13,0
10,13,0
23,13,0
21,55,0
10,13,0
23,100,0
23,100,0
10,55,0
10,13,0
10,13,0
10,100,0
23,100,0
10,13,0
23,55,0
10,13,0
23,100,0
23,100,0
23,100,1
23,55,0
10,13,0
10,13,0
10,13,0
10,13,0
21,55,0
10,13,0
10,55,0
21,55,0
10,13,0
21,55,0
10,13,0
10,13,0
10,13,0
21,55,0
23,100,0
10,55,0
10,13,0
10,55,0
10,13,0
21,55,0
23,100,0
10,13,0
