block_id,A,B,probability
0,10,13,1.0
1,23,13,1.0
2,10,13,1.0
3,23,100,1.0
4,21,55,1.0
5,23,100,1.0
6,21,13,1.0
7,23,100,1.0
8,10,13,1.0
9,10,13,1.0
10,21,55,1.0
11,21,55,1.0
12,10,13,1.0
13,21,55,1.0
14,10,55,1.0
15,23,100,1.0
16,10,100,1.0
17,21,13,1.0
18,21,55,1.0
19,10,13,1.0
20,10,13,1.0
21,23,55,1.0
22,23,13,1.0
23,10,13,1.0
24,23,100,1.0
25,21,55,1.0
26,10,13,1.0
27,23,100,1.0
28,21,55,1.0
29,23,100,1.0
30,21,55,1.0
31,21,100,1.0
32,10,13,1.0
33,10,13,1.0
34,23,100,1.0
35,10,100,1.0
36,10,13,1.0
37,21,100,1.0
38,23,13,0.1
38,23,55,0.1
38,23,100,0.8
39,10,55,1.0
40,21,55,1.0
41,21,55,1.0
42,21,55,1.0
43,21,55,1.0
44,10,13,1.0
45,10,13,1.0
46,21,55,1.0
47,23,100,1.0
48,10,100,1.0
49,23,100,1.0
50,21,55,1.0
51,10,13,1.0
52,21,55,1.0
53,23,100,1.0
54,23,100,1.0
55,10,100,1.0
56,23,100,1.0
57,21,55,1.0
58,23,100,1.0
59,23,100,1.0
60,23,55,1.0
61,21,55,1.0
62,23,55,1.0
63,10,13,1.0
64,10,13,1.0
65,10,13,1.0
66,21,55,1.0
67,10,100,1.0
68,10,55,1.0
69,23,13,0.1
69,23,55,0.1
69,23,100,0.8
70,10,13,1.0
71,10,13,1.0
72,23,13,1.0
73,10,13,1.0
74,21,55,1.0
75,10,13,1.0
76,10,13,1.0
77,23,13,0.1
77,23,55,0.1
77,23,100,0.8
78,10,13,1.0
79,10,13,1.0
80,10,13,1.0
81,10,13,1.0
82,10,13,1.0
83,23,100,1.0
84,10,13,1.0
85,10,13,1.0
86,21,55,1.0
87,21,55,1.0
88,21,55,1.0
89,21,55,1.0
90,10,55,1.0
91,23,100,1.0
92,23,55,1.0
93,10,13,1.0
94,10,13,1.0
95,21,55,1.0
96,10,13,1.0
97,10,55,1.0
98,10,13,1.0
99,23,100,1.0
100,21,55,1.0
101,10,13,1.0
102,10,55,1.0
103,23,100,1.0
104,10,13,1.0
105,10,13,1.0
106,21,13,1.0
107,10,13,1.0
108,21,55,1.0
109,23,100,1.0
110,10,13,1.0
111,23,100,1.0
112,10,13,1.0
113,10,55,1.0
114,23,100,1.0
115,23,100,1.0
116,10,55,1.0
117,21,55,1.0
118,10,13,1.0
119,10,13,1.0
120,10,13,1.0
121,10,13,1.0
122,10,13,1.0
123,10,55,1.0
124,10,100,1.0
125,23,100,1.0
126,10,13,1.0
127,23,100,1.0
128,10,13,1.0
129,10,13,1.0
130,23,55,1.0
131,23,100,1.0
132,10,13,1.0
133,10,13,1.0
134,10,13,1.0
135,10,13,1.0
136,10,13,1.0
137,21,13,1.0
138,10,13,1.0
139,23,13,0.1
139,23,55,0.1
139,23,100,0.8
140,10,13,1.0
141,10,13,1.0
142,23,100,1.0
143,10,13,1.0
144,21,100,1.0
145,10,13,1.0
146,10,55,1.0
147,23,100,1.0
148,23,100,1.0
149,23,100,1.0
150,10,100,1.0
151,10,13,1.0
152,23,100,1.0
153,10,13,1.0
154,21,13,1.0
155,23,13,0.1
155,23,55,0.1
155,23,100,0.8
156,10,13,1.0
157,10,13,1.0
158,10,100,1.0
159,23,13,1.0
160,21,55,1.0
161,10,55,1.0
162,10,13,1.0
163,10,13,1.0
164,10,13,1.0
165,21,55,1.0
166,10,13,1.0
167,21,13,1.0
168,10,13,1.0
169,10,55,1.0
170,23,100,1.0
171,10,13,1.0
172,10,13,1.0
173,23,100,1.0
174,10,13,1.0
175,21,55,1.0
176,21,13,1.0
177,23,55,1.0
178,21,55,1.0
179,10,13,1.0
180,23,100,1.0
181,10,13,1.0
182,23,100,1.0
183,23,100,1.0
184,21,13,1.0
185,23,13,1.0
186,10,13,1.0
187,10,13,1.0
188,23,100,1.0
189,10,55,1.0
190,10,13,1.0
191,23,100,1.0
192,10,13,1.0
193,21,55,1.0
194,10,100,1.0
195,23,100,1.0
196,10,13,1.0
197,10,13,1.0
198,10,13,1.0
199,23,100,1.0
200,21,55,1.0
201,10,100,1.0
202,23,100,1.0
203,23,100,1.0
204,21,55,1.0
205,10,13,1.0
206,23,13,1.0
207,10,100,1.0
208,21,55,1.0
209,10,55,1.0
210,10,100,1.0
211,10,13,1.0
212,10,13,1.0
213,10,13,1.0
214,23,100,1.0
215,23,13,1.0
216,23,100,1.0
217,10,13,1.0
218,10,13,1.0
219,21,55,1.0
220,10,100,1.0
221,23,55,1.0
222,10,55,1.0
223,23,100,1.0
224,10,13,1.0
225,21,13,1.0
226,10,13,1.0
227,10,55,1.0
228,23,100,1.0
229,23,100,1.0
230,23,100,1.0
231,10,13,1.0
232,21,55,1.0
233,10,13,1.0
234,21,55,1.0
235,21,55,1.0
236,21,55,1.0
237,21,55,1.0
238,10,13,1.0
239,23,100,1.0
240,23,100,1.0
241,23,13,0.1
241,23,55,0.1
241,23,100,0.8
242,23,13,1.0
243,21,13,1.0
244,10,13,1.0
245,23,100,1.0
246,10,100,1.0
247,10,13,1.0
248,23,100,1.0
249,21,55,1.0
250,21,55,1.0
251,10,13,1.0
252,21,55,1.0
253,10,13,1.0
254,10,13,1.0
255,23,100,1.0
256,10,55,1.0
257,10,13,1.0
258,10,13,1.0
259,23,13,0.1
259,23,55,0.1
259,23,100,0.8
260,23,100,1.0
261,23,13,0.1
261,23,55,0.1
261,23,100,0.8
262,21,55,1.0
263,23,100,1.0
264,10,13,1.0
265,10,13,1.0
266,10,13,1.0
267,10,13,1.0
268,10,13,1.0
269,21,100,1.0
270,10,100,1.0
271,10,13,1.0
272,10,13,1.0
273,10,13,1.0
274,23,100,1.0
275,10,13,1.0
276,23,100,1.0
277,21,55,1.0
278,23,55,1.0
279,21,55,1.0
280,10,13,1.0
281,23,55,1.0
282,10,13,1.0
283,10,13,1.0
284,10,13,1.0
285,10,100,1.0
286,10,13,1.0
287,10,13,1.0
288,21,55,1.0
289,21,13,1.0
290,23,100,1.0
291,10,13,1.0
292,23,100,1.0
293,10,13,1.0
294,10,100,1.0
295,10,13,1.0
296,10,13,1.0
297,10,13,1.0
298,10,13,1.0
299,10,13,1.0
300,21,55,1.0
301,10,13,1.0
302,23,13,0.1
302,23,55,0.1
302,23,100,0.8
303,10,100,1.0
304,10,55,1.0
305,21,55,1.0
306,21,55,1.0
307,23,13,0.1
307,23,55,0.1
307,23,100,0.8
308,23,100,1.0
309,23,13,0.1
309,23,55,0.1
309,23,100,0.8
310,10,13,1.0
311,10,100,1.0
312,10,13,1.0
313,10,13,1.0
314,23,100,1.0
315,21,55,1.0
316,23,13,0.1
316,23,55,0.1
316,23,100,0.8
317,10,13,1.0
318,10,13,1.0
319,23,100,1.0
320,23,100,1.0
321,23,100,1.0
322,23,13,0.1
322,23,55,0.1
322,23,100,0.8
323,21,55,1.0
324,10,13,1.0
325,10,13,1.0
326,10,55,1.0
327,10,13,1.0
328,10,13,1.0
329,10,13,1.0
330,10,55,1.0
331,23,13,1.0
332,23,100,1.0
333,23,100,1.0
334,21,55,1.0
335,10,13,1.0
336,21,55,1.0
337,10,13,1.0
338,23,100,1.0
339,10,13,1.0
340,23,100,1.0
341,21,100,1.0
342,21,55,1.0
343,10,13,1.0
344,10,13,1.0
345,10,13,1.0
346,21,55,1.0
347,10,100,1.0
348,10,13,1.0
349,23,100,1.0
350,21,55,1.0
351,10,55,1.0
352,10,13,1.0
353,10,13,1.0
354,10,13,1.0
355,23,100,1.0
356,23,13,1.0
357,10,13,1.0
358,23,100,1.0
359,21,55,1.0
360,23,100,1.0
361,10,13,1.0
362,10,55,1.0
363,21,55,1.0
364,10,13,1.0
365,23,100,1.0
366,10,13,1.0
367,10,100,1.0
368,21,100,1.0
369,23,100,1.0
370,10,13,1.0
371,23,13,1.0
372,23,100,1.0
373,23,100,1.0
374,10,13,1.0
375,21,13,1.0
376,21,55,1.0
377,21,55,1.0
378,23,100,1.0
379,21,55,1.0
380,10,13,1.0
381,23,13,1.0
382,23,100,1.0
383,23,13,0.1
383,23,55,0.1
383,23,100,0.8
384,10,13,1.0
385,23,100,1.0
386,23,100,1.0
387,23,13,1.0
388,10,13,1.0
389,10,13,1.0
390,21,55,1.0
391,23,100,1.0
392,23,13,0.1
392,23,55,0.1
392,23,100,0.8
393,21,55,1.0
394,10,100,1.0
395,10,55,1.0
396,10,100,1.0
397,23,100,1.0
398,21,55,1.0
399,10,13,1.0
400,10,13,1.0
401,10,13,1.0
402,23,100,1.0
403,10,100,1.0
404,21,13,1.0
405,10,13,1.0
406,23,13,1.0
407,10,13,1.0
408,23,100,1.0
409,21,55,1.0
410,10,13,1.0
411,23,100,1.0
412,10,13,1.0
413,10,55,1.0
414,21,13,1.0
415,21,55,1.0
416,23,100,1.0
417,10,100,1.0
418,10,13,1.0
419,23,100,1.0
420,10,13,1.0
421,10,13,1.0
422,10,13,1.0
423,21,55,1.0
424,10,13,1.0
425,10,13,1.0
426,23,100,1.0
427,21,55,1.0
428,21,55,1.0
429,10,13,1.0
430,23,100,1.0
431,10,13,1.0
432,10,13,1.0
433,10,13,1.0
434,10,55,1.0
435,10,13,1.0
436,23,100,1.0
437,10,13,1.0
438,10,13,1.0
439,23,100,1.0
440,10,13,1.0
441,10,13,1.0
442,10,13,1.0
443,10,13,1.0
444,21,55,1.0
445,10,13,1.0
446,10,13,1.0
447,10,13,1.0
448,23,100,1.0
449,23,100,1.0
450,10,13,1.0
451,23,100,1.0
452,10,13,1.0
453,10,13,1.0
454,10,13,1.0
455,23,100,1.0
456,10,13,1.0
457,21,100,1.0
458,10,55,1.0
459,10,13,1.0
460,10,55,1.0
461,10,13,1.0
462,21,13,1.0
463,23,100,1.0
464,10,13,1.0
465,10,13,1.0
466,21,55,1.0
467,23,13,1.0
468,21,55,1.0
469,21,55,1.0
470,21,55,1.0
471,10,100,1.0
472,23,100,1.0
473,10,13,1.0
474,10,13,1.0
475,10,13,1.0
476,10,13,1.0
477,23,100,1.0
