A,B,C,IC
2,10,4,0
2,10,4,0
2,10,4,0
2,10,7,0
2,10,4,0
2,100,4,1
2,10,4,0
2,10,4,0
2,10,4,0
2,10,7,0
2,10,4,0
1,100,4,0
2,10,4,0
1,100,4,0
2,10,4,0
2,10,4,0
1,10,4,1
1,100,4,0
1,100,4,0
2,10,4,0
2,100,4,1
2,100,7,1
2,10,4,0
2,10,4,0
1,100,7,0
2,10,7,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,100,4,1
1,100,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,7,0
2,10,4,0
1,100,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,7,0
2,10,4,0
2,10,7,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,7,0
2,10,7,0
1,10,4,1
2,10,4,0
2,10,4,0
2,10,7,0
1,100,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,7,0
2,10,4,0
2,10,4,0
1,100,7,0
2,100,7,1
2,10,4,0
2,10,4,0
2,10,4,0
2,100,4,1
2,10,4,0
1,100,4,0
2,10,4,0
1,100,4,0
2,10,4,0
2,10,4,0
1,100,4,0
2,10,7,0
2,100,4,1
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
1,100,4,0
2,10,7,0
2,10,4,0
2,10,4,0
1,100,4,0
2,10,4,0
2,10,7,0
2,10,4,0
2,10,4,0
2,100,4,1
1,100,4,0
1,100,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,7,0
1,100,4,0
2,10,7,0
2,10,4,0
2,10,7,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,100,4,1
2,10,4,0
2,10,7,0
2,10,4,0
2,10,4,0
2,100,7,1
2,10,4,0
2,10,7,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
1,100,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,100,4,1
2,10,4,0
1,100,4,0
2,10,4,0
2,10,4,0
1,100,7,0
2,10,4,0
2,10,4,0
1,10,4,1
2,10,4,0
2,10,4,0
2,10,4,0
2,10,7,0
2,100,4,1
2,10,7,0
2,10,4,0
2,10,7,0
2,10,7,0
1,10,7,1
2,100,4,1
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,100,7,1
2,10,4,0
1,100,4,0
1,10,7,1
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
1,100,4,0
2,100,4,1
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
1,100,4,0
2,10,4,0
1,100,4,0
2,10,7,0
2,100,7,1
2,10,4,0
2,10,4,0
2,10,4,0
1,100,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
1,10,4,1
2,10,7,0
2,100,4,1
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,100,7,1
1,100,4,0
2,10,7,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,7,0
2,10,4,0
2,10,4,0
2,100,4,1
2,10,4,0
1,100,4,0
2,10,7,0
2,10,4,0
1,100,7,0
2,10,4,0
2,100,4,1
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
1,100,4,0
2,10,4,0
1,100,4,0
1,100,4,0
2,10,4,0
2,10,4,0
1,100,7,0
1,100,4,0
2,100,7,1
1,100,4,0
2,10,4,0
2,10,4,0
2,10,4,0
1,100,7,0
2,10,4,0
2,10,4,0
2,10,4,0
1,100,4,0
2,10,4,0
2,100,4,1
2,10,4,0
1,100,4,0
2,10,4,0
2,10,4,0
1,10,4,1
2,10,4,0
2,10,4,0
1,10,4,0
2,10,4,0
2,10,4,0
2,100,4,1
2,10,4,0
2,10,4,0
1,10,7,1
2,10,4,0
1,100,7,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,7,0
2,10,4,0
2,10,7,0
1,100,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,100,4,1
1,100,4,0
2,10,4,0
2,10,7,0
1,100,4,0
2,10,4,0
2,10,7,0
2,10,4,0
1,100,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,100,4,1
1,10,4,1
2,10,4,0
1,100,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
2,10,4,0
1,10,4,1
1,100,7,0
2,10,7,0
2,10,4,0
