block_id,A,B,C,probability
0,2,10,4,1.0
1,2,10,4,1.0
2,2,10,4,1.0
3,2,10,7,1.0
4,2,10,4,1.0
5,2,100,4,0.8
5,2,100,7,0.2
6,2,10,4,1.0
7,2,10,4,1.0
8,2,10,4,1.0
9,2,10,7,1.0
10,2,10,4,1.0
11,1,100,4,1.0
12,2,10,4,1.0
13,1,100,4,1.0
14,2,10,4,1.0
15,2,10,4,1.0
16,1,10,4,0.8
16,1,10,7,0.2
17,1,100,4,1.0
18,1,100,4,1.0
19,2,10,4,1.0
20,2,100,4,0.8
20,2,100,7,0.2
21,2,100,4,0.8
21,2,100,7,0.2
22,2,10,4,1.0
23,2,10,4,1.0
24,1,100,7,1.0
25,2,10,7,1.0
26,2,10,4,1.0
27,2,10,4,1.0
28,2,10,4,1.0
29,2,10,4,1.0
30,2,10,4,1.0
31,2,10,4,1.0
32,2,100,4,0.8
32,2,100,7,0.2
33,1,100,4,1.0
34,2,10,4,1.0
35,2,10,4,1.0
36,2,10,4,1.0
37,2,10,4,1.0
38,2,10,4,1.0
39,2,10,7,1.0
40,2,10,4,1.0
41,1,100,4,1.0
42,2,10,4,1.0
43,2,10,4,1.0
44,2,10,4,1.0
45,2,10,4,1.0
46,2,10,7,1.0
47,2,10,4,1.0
48,2,10,7,1.0
49,2,10,4,1.0
50,2,10,4,1.0
51,2,10,4,1.0
52,2,10,4,1.0
53,2,10,4,1.0
54,2,10,4,1.0
55,2,10,4,1.0
56,2,10,4,1.0
57,2,10,7,1.0
58,2,10,7,1.0
59,1,10,4,0.8
59,1,10,7,0.2
60,2,10,4,1.0
61,2,10,4,1.0
62,2,10,7,1.0
63,1,100,4,1.0
64,2,10,4,1.0
65,2,10,4,1.0
66,2,10,4,1.0
67,2,10,4,1.0
68,2,10,4,1.0
69,2,10,4,1.0
70,2,10,7,1.0
71,2,10,4,1.0
72,2,10,4,1.0
73,1,100,7,1.0
74,2,100,4,0.8
74,2,100,7,0.2
75,2,10,4,1.0
76,2,10,4,1.0
77,2,10,4,1.0
78,2,100,4,0.8
78,2,100,7,0.2
79,2,10,4,1.0
80,1,100,4,1.0
81,2,10,4,1.0
82,1,100,4,1.0
83,2,10,4,1.0
84,2,10,4,1.0
85,1,100,4,1.0
86,2,10,7,1.0
87,2,100,4,0.8
87,2,100,7,0.2
88,2,10,4,1.0
89,2,10,4,1.0
90,2,10,4,1.0
91,2,10,4,1.0
92,2,10,4,1.0
93,2,10,4,1.0
94,2,10,4,1.0
95,1,100,4,1.0
96,2,10,7,1.0
97,2,10,4,1.0
98,2,10,4,1.0
99,1,100,4,1.0
100,2,10,4,1.0
101,2,10,7,1.0
102,2,10,4,1.0
103,2,10,4,1.0
104,2,100,4,0.8
104,2,100,7,0.2
105,1,100,4,1.0
106,1,100,4,1.0
107,2,10,4,1.0
108,2,10,4,1.0
109,2,10,4,1.0
110,2,10,4,1.0
111,2,10,7,1.0
112,1,100,4,1.0
113,2,10,7,1.0
114,2,10,4,1.0
115,2,10,7,1.0
116,2,10,4,1.0
117,2,10,4,1.0
118,2,10,4,1.0
119,2,10,4,1.0
120,2,10,4,1.0
121,2,10,4,1.0
122,2,10,4,1.0
123,2,10,4,1.0
124,2,100,4,0.8
124,2,100,7,0.2
125,2,10,4,1.0
126,2,10,7,1.0
127,2,10,4,1.0
128,2,10,4,1.0
129,2,100,4,0.8
129,2,100,7,0.2
130,2,10,4,1.0
131,2,10,7,1.0
132,2,10,4,1.0
133,2,10,4,1.0
134,2,10,4,1.0
135,2,10,4,1.0
136,1,100,4,1.0
137,2,10,4,1.0
138,2,10,4,1.0
139,2,10,4,1.0
140,2,100,4,0.8
140,2,100,7,0.2
141,2,10,4,1.0
142,1,100,4,1.0
143,2,10,4,1.0
144,2,10,4,1.0
145,1,100,7,1.0
146,2,10,4,1.0
147,2,10,4,1.0
148,1,10,4,0.8
148,1,10,7,0.2
149,2,10,4,1.0
150,2,10,4,1.0
151,2,10,4,1.0
152,2,10,7,1.0
153,2,100,4,0.8
153,2,100,7,0.2
154,2,10,7,1.0
155,2,10,4,1.0
156,2,10,7,1.0
157,2,10,7,1.0
158,1,10,4,0.8
158,1,10,7,0.2
159,2,100,4,0.8
159,2,100,7,0.2
160,2,10,4,1.0
161,2,10,4,1.0
162,2,10,4,1.0
163,2,10,4,1.0
164,2,10,4,1.0
165,2,100,4,0.8
165,2,100,7,0.2
166,2,10,4,1.0
167,1,100,4,1.0
168,1,10,4,0.8
168,1,10,7,0.2
169,2,10,4,1.0
170,2,10,4,1.0
171,2,10,4,1.0
172,2,10,4,1.0
173,1,100,4,1.0
174,2,100,4,0.8
174,2,100,7,0.2
175,2,10,4,1.0
176,2,10,4,1.0
177,2,10,4,1.0
178,2,10,4,1.0
179,1,100,4,1.0
180,2,10,4,1.0
181,1,100,4,1.0
182,2,10,7,1.0
183,2,100,4,0.8
183,2,100,7,0.2
184,2,10,4,1.0
185,2,10,4,1.0
186,2,10,4,1.0
187,1,100,4,1.0
188,2,10,4,1.0
189,2,10,4,1.0
190,2,10,4,1.0
191,2,10,4,1.0
192,2,10,4,1.0
193,1,10,4,0.8
193,1,10,7,0.2
194,2,10,7,1.0
195,2,100,4,0.8
195,2,100,7,0.2
196,2,10,4,1.0
197,2,10,4,1.0
198,2,10,4,1.0
199,2,10,4,1.0
200,2,100,4,0.8
200,2,100,7,0.2
201,1,100,4,1.0
202,2,10,7,1.0
203,2,10,4,1.0
204,2,10,4,1.0
205,2,10,4,1.0
206,2,10,7,1.0
207,2,10,4,1.0
208,2,10,4,1.0
209,2,100,4,0.8
209,2,100,7,0.2
210,2,10,4,1.0
211,1,100,4,1.0
212,2,10,7,1.0
213,2,10,4,1.0
214,1,100,7,1.0
215,2,10,4,1.0
216,2,100,4,0.8
216,2,100,7,0.2
217,2,10,4,1.0
218,2,10,4,1.0
219,2,10,4,1.0
220,2,10,4,1.0
221,1,100,4,1.0
222,2,10,4,1.0
223,1,100,4,1.0
224,1,100,4,1.0
225,2,10,4,1.0
226,2,10,4,1.0
227,1,100,7,1.0
228,1,100,4,1.0
229,2,100,4,0.8
229,2,100,7,0.2
230,1,100,4,1.0
231,2,10,4,1.0
232,2,10,4,1.0
233,2,10,4,1.0
234,1,100,7,1.0
235,2,10,4,1.0
236,2,10,4,1.0
237,2,10,4,1.0
238,1,100,4,1.0
239,2,10,4,1.0
240,2,100,4,0.8
240,2,100,7,0.2
241,2,10,4,1.0
242,1,100,4,1.0
243,2,10,4,1.0
244,2,10,4,1.0
245,1,10,4,0.8
245,1,10,7,0.2
246,2,10,4,1.0
247,2,10,4,1.0
248,1,10,4,1.0
249,2,10,4,1.0
250,2,10,4,1.0
251,2,100,4,0.8
251,2,100,7,0.2
252,2,10,4,1.0
253,2,10,4,1.0
254,1,10,4,0.8
254,1,10,7,0.2
255,2,10,4,1.0
256,1,100,7,1.0
257,2,10,4,1.0
258,2,10,4,1.0
259,2,10,4,1.0
260,2,10,4,1.0
261,2,10,4,1.0
262,2,10,4,1.0
263,2,10,4,1.0
264,2,10,4,1.0
265,2,10,7,1.0
266,2,10,4,1.0
267,2,10,7,1.0
268,1,100,4,1.0
269,2,10,4,1.0
270,2,10,4,1.0
271,2,10,4,1.0
272,2,100,4,0.8
272,2,100,7,0.2
273,1,100,4,1.0
274,2,10,4,1.0
275,2,10,7,1.0
276,1,100,4,1.0
277,2,10,4,1.0
278,2,10,7,1.0
279,2,10,4,1.0
280,1,100,4,1.0
281,2,10,4,1.0
282,2,10,4,1.0
283,2,10,4,1.0
284,2,10,4,1.0
285,2,10,4,1.0
286,2,10,4,1.0
287,2,100,4,0.8
287,2,100,7,0.2
288,1,10,4,0.8
288,1,10,7,0.2
289,2,10,4,1.0
290,1,100,4,1.0
291,2,10,4,1.0
292,2,10,4,1.0
293,2,10,4,1.0
294,2,10,4,1.0
295,2,10,4,1.0
296,1,10,4,0.8
296,1,10,7,0.2
297,1,100,7,1.0
298,2,10,7,1.0
299,2,10,4,1.0
