block_id,A,B,probability
0,2,100,1.0
1,1,100,1.0
2,3,100000,1.0
3,1,1000,1.0
4,1,1000,1.0
5,3,100000,1.0
6,3,100000,1.0
7,1,10,0.2
7,1,100,0.3
7,1,1000,0.5
7,1,10000,0.0
7,1,100000,0.0
8,3,100000,1.0
9,3,100,1.0
10,3,100000,1.0
11,1,1000,1.0
12,2,10,0.0
12,2,100,0.3
12,2,1000,0.3
12,2,10000,0.4
12,2,100000,0.0
13,3,100000,1.0
14,2,10,0.0
14,2,100,0.3
14,2,1000,0.3
14,2,10000,0.4
14,2,100000,0.0
15,1,1000,1.0
16,3,10,0.01
16,3,100,0.19
16,3,1000,0.0
16,3,10000,0.0
16,3,100000,0.8
17,1,100,1.0
18,1,1000,1.0
19,1,10,0.2
19,1,100,0.3
19,1,1000,0.5
19,1,10000,0.0
19,1,100000,0.0
20,2,10,0.0
20,2,100,0.3
20,2,1000,0.3
20,2,10000,0.4
20,2,100000,0.0
21,2,10,0.0
21,2,100,0.3
21,2,1000,0.3
21,2,10000,0.4
21,2,100000,0.0
22,1,1000,1.0
23,3,100000,1.0
24,2,10,0.0
24,2,100,0.3
24,2,1000,0.3
24,2,10000,0.4
24,2,100000,0.0
25,1,100,1.0
26,2,10,0.0
26,2,100,0.3
26,2,1000,0.3
26,2,10000,0.4
26,2,100000,0.0
27,3,100000,1.0
28,3,100000,1.0
29,1,1000,1.0
30,2,10000,1.0
31,1,100,1.0
32,1,10,1.0
33,1,1000,1.0
34,3,100000,1.0
35,3,100000,1.0
36,1,100,1.0
37,3,100000,1.0
38,1,10,1.0
39,1,1000,1.0
40,3,100000,1.0
41,1,100,1.0
42,1,1000,1.0
43,3,100000,1.0
44,3,10,0.01
44,3,100,0.19
44,3,1000,0.0
44,3,10000,0.0
44,3,100000,0.8
45,3,100000,1.0
46,2,10,0.0
46,2,100,0.3
46,2,1000,0.3
46,2,10000,0.4
46,2,100000,0.0
47,1,10,0.2
47,1,100,0.3
47,1,1000,0.5
47,1,10000,0.0
47,1,100000,0.0
48,2,10,0.0
48,2,100,0.3
48,2,1000,0.3
48,2,10000,0.4
48,2,100000,0.0
49,2,1000,1.0
50,3,100000,1.0
51,3,10,0.01
51,3,100,0.19
51,3,1000,0.0
51,3,10000,0.0
51,3,100000,0.8
52,3,100,1.0
53,3,10,0.01
53,3,100,0.19
53,3,1000,0.0
53,3,10000,0.0
53,3,100000,0.8
54,1,100,1.0
55,2,10,0.0
55,2,100,0.3
55,2,1000,0.3
55,2,10000,0.4
55,2,100000,0.0
56,1,1000,1.0
57,3,100,1.0
58,1,100,1.0
59,1,1000,1.0
60,3,10,0.01
60,3,100,0.19
60,3,1000,0.0
60,3,10000,0.0
60,3,100000,0.8
61,2,10,0.0
61,2,100,0.3
61,2,1000,0.3
61,2,10000,0.4
61,2,100000,0.0
62,3,100000,1.0
63,1,10,1.0
64,3,10,0.01
64,3,100,0.19
64,3,1000,0.0
64,3,10000,0.0
64,3,100000,0.8
65,1,1000,1.0
66,1,1000,1.0
67,3,100000,1.0
68,1,10,0.2
68,1,100,0.3
68,1,1000,0.5
68,1,10000,0.0
68,1,100000,0.0
69,1,1000,1.0
70,3,100000,1.0
71,1,10,0.2
71,1,100,0.3
71,1,1000,0.5
71,1,10000,0.0
71,1,100000,0.0
72,3,100000,1.0
73,2,10,0.0
