A,B,C
3,13,100
1,100,100
1,100,100
3,100,3
1,100,5
2,13,100
3,999,100
1,100,3
1,100,3
3,55,100
3,55,3
2,55,3
2,55,100
2,999,5
1,100,100
1,100,100
3,999,100
3,13,3
1,100,3
1,100,3
1,100,3
1,100,3
3,100,3
1,100,3
3,999,100
1,100,100
1,100,100
2,13,100
1,100,5
3,999,3
2,100,100
3,55,100
3,55,5
2,13,3
1,100,5
1,100,100
2,13,100
1,100,5
1,100,3
1,100,100
3,13,100
3,999,100
2,999,100
3,13,100
1,100,100
1,100,3
2,55,100
1,100,3
3,100,100
1,100,100
1,100,3
2,100,3
3,13,5
2,55,100
1,100,5
1,100,100
1,100,3
1,100,100
1,100,5
1,100,3
3,999,100
3,999,5
1,100,100
3,999,100
1,100,3
2,55,100
1,100,100
2,999,100
1,100,100
1,100,100
2,13,100
3,999,100
1,100,3
1,100,100
3,13,5
3,13,5
1,100,3
3,100,100
1,100,100
2,13,3
1,100,3
1,100,100
1,100,3
1,100,100
1,100,5
2,55,5
1,100,3
3,999,100
3,13,100
1,100,3
1,100,100
3,100,5
3,13,5
1,100,100
1,100,3
1,100,100
1,100,3
3,13,100
1,100,5
2,55,5
3,55,3
3,999,3
1,100,3
1,100,100
2,999,100
1,100,100
1,100,5
1,100,3
1,100,100
1,100,3
2,55,100
1,100,100
2,13,100
1,100,100
1,100,100
2,55,5
1,100,3
2,55,100
3,999,5
2,999,3
2,55,5
1,100,3
1,100,100
3,999,100
2,999,5
1,100,100
1,100,3
3,55,3
3,100,100
3,13,100
3,13,3
1,100,3
1,100,5
1,100,100
2,55,3
1,100,100
3,999,5
3,55,100
1,100,100
1,100,100
2,100,3
3,100,100
3,999,100
3,55,100
3,13,100
2,999,100
1,100,3
2,100,100
1,100,3
1,100,3
3,55,100
1,100,100
3,100,3
1,100,100
2,13,100
3,55,100
2,100,100
3,999,5
1,100,100
3,999,100
3,13,100
3,100,5
1,100,3
3,13,100
3,55,100
3,55,100
1,100,100
1,100,100
1,100,5
1,100,3
1,100,3
3,13,5
1,100,5
1,100,100
2,999,5
1,100,100
2,55,100
1,100,100
3,55,100
1,100,3
3,55,3
1,100,5
1,100,100
1,100,100
2,999,100
1,100,3
2,100,3
1,100,100
3,13,100
1,100,100
3,100,3
3,100,100
1,100,5
3,100,100
3,100,100
1,100,5
2,55,100
1,100,3
1,100,3
1,100,100
3,100,3
1,100,100
3,999,3
1,100,100
1,100,100
1,100,100
3,55,100
3,100,3
1,100,3
3,55,3
1,100,100
1,100,100
1,100,100
1,100,5
3,55,100
2,13,100
1,100,5
1,100,3
1,100,3
2,999,3
3,999,5
1,100,100
3,100,100
2,100,100
1,100,100
3,999,5
3,100,5
1,100,3
2,999,5
1,100,100
1,100,5
3,55,100
1,100,100
1,100,3
3,13,100
2,13,3
1,100,5
1,100,3
2,999,100
3,55,100
2,999,5
1,100,100
3,13,5
1,100,100
2,999,3
2,999,5
1,100,100
3,999,5
3,55,100
3,13,100
2,55,100
1,100,100
1,100,100
3,100,100
1,100,100
1,100,5
2,13,100
3,999,100
2,999,5
3,100,5
1,100,3
3,55,5
3,55,3
2,13,3
2,55,5
1,100,3
3,55,100
2,999,100
1,100,3
1,100,3
3,55,100
1,100,3
1,100,100
1,100,3
1,100,100
3,13,100
1,100,3
1,100,100
2,999,3
1,100,3
2,13,100
1,100,3
1,100,3
3,100,100
1,100,5
1,100,100
1,100,3
3,999,5
3,100,100
1,100,100
1,100,100
2,13,100
1,100,100
1,100,3
1,100,100
1,100,100
1,100,5
3,55,100
3,55,5
1,100,100
