A,B
6,100000
1,1000
4,10
1,1000000
6,100000
4,100000
3,1000000
2,10000
4,10000
1,10
6,100000
3,100000
3,1000000
6,1000000
6,100000
6,1000000
6,1000000
2,10000
6,1000000
3,1000
6,1000000
6,100000
1,10000
3,10
1,1000
6,100000
4,10
6,1000000
5,10000
1,1000
5,10000
1,1000
1,1000000
5,10000
1,1000
5,10000
6,100000
1,10
3,1000
3,100000
3,1000000
3,100000
5,10000
6,100000
1,1000
1,100000
1,10
1,10
5,1000
5,1000
6,100000
6,1000000
6,1000000
6,100000
6,1000000
5,1000
6,100000
3,1000
1,10
1,1000
1,10
6,1000000
1,1000000
3,1000
2,100
3,10
3,1000
4,10000
1,10000
5,10000
3,100
4,1000000
1,10
6,1000000
6,100000
1,100000
4,10000
6,100000
5,10000
1,10
3,100000
6,100000
6,100000
5,10000
1,1000
3,1000
2,100
6,1000000
5,100
6,100000
3,100
6,100000
3,100000
4,10
3,1000000
6,100000
6,100000
2,10000
4,10
2,1000
1,1000
6,100000
3,1000000
4,1000000
6,100000
1,10
1,1000
5,1000
6,1000000
1,1000000
3,100
1,1000000
2,1000
3,1000
1,10000
5,10000
1,10
6,100000
6,100000
3,100
2,10000
5,10000
1,1000
6,100000
5,1000
6,1000000
3,100000
3,100
3,100000
3,100000
6,1000000
4,1000
1,1000
4,10000
3,100000
5,100
5,10000
6,1000000
4,1000
6,1000000
3,1000
6,1000000
3,100000
6,100000
5,10000
1,10000
1,1000
1,1000
6,1000000
6,100000
1,10
6,100000
1,1000
6,100000
6,100000
3,10
6,1000000
4,1000
3,100
6,1000000
5,100
6,1000000
1,100000
6,1000000
6,100000
2,10000
3,1000
3,1000
3,100000
1,1000
3,100
4,1000000
3,10
6,1000000
6,100000
5,1000
2,100
6,1000000
6,100000
5,10000
6,1000000
1,1000000
4,10
6,100000
1,100000
6,1000000
1,10
1,1000
4,10
6,100000
6,1000000
6,1000000
6,1000000
3,1000000
2,100
6,100000
3,10
6,100000
1,10
2,100
3,1000000
2,10000
1,1000
6,1000000
6,1000000
1,10000
4,10000
4,1000
4,1000
6,100000
1,1000
1,1000
6,1000000
6,1000000
5,1000
5,10000
4,1000
1,100000
1,10000
3,1000000
3,100
2,1000
4,10
3,100000
5,100
5,10000
3,1000000
1,1000
1,1000000
2,10000
2,1000
1,10000
1,1000000
6,1000000
5,1000
1,1000
6,1000000
1,1000
6,100000
6,100000
1,1000000
3,1000000
2,10000
6,1000000
1,1000
6,1000000
6,1000000
6,1000000
3,10
4,1000000
3,1000
3,1000000
3,100
1,100000
3,10
5,10000
4,1000
1,10
4,1000000
4,1000
6,100000
6,1000000
1,1000
3,1000000
5,1000
5,10000
6,1000000
3,100
1,10
6,1000000
3,1000
1,10000
6,100000
6,1000000
6,1000000
1,10
1,10
6,100000
6,100000
6,1000000
5,1000
1,1000
4,10
3,100
1,10
1,1000
6,100000
6,1000000
1,10
6,1000000
2,10000
3,100000
5,10000
4,1000
6,1000000
5,10000
6,100000
1,1000
3,100000
2,10000
