block_id,A,B,C,D,probability
0,45,3,24,88,1.0
1,31,3,75,88,1.0
2,45,145,120,150,1.0
3,45,74,75,10,1.0
4,31,3,88,10,1.0
5,2,3,120,88,1.0
6,2,555,75,88,1.0
7,45,555,88,88,1.0
8,2,555,88,88,1.0
9,2,74,75,150,1.0
10,31,555,24,50,1.0
11,2,145,120,88,1.0
12,2,74,24,88,1.0
13,45,145,24,150,1.0
14,45,3,24,150,1.0
15,31,74,24,88,1.0
16,2,3,120,88,1.0
17,2,555,88,88,1.0
18,31,74,24,150,1.0
19,31,145,24,50,0.18181818181818182
19,31,145,75,50,0.2727272727272727
19,31,145,88,50,0.36363636363636365
19,31,145,120,50,0.18181818181818182
20,31,145,120,88,1.0
21,45,74,75,150,1.0
22,31,3,24,150,0.1666666666666667
22,31,3,75,150,0.08333333333333336
22,31,3,88,150,0.25
22,31,3,120,150,0.5
23,45,3,120,150,1.0
24,2,145,88,50,1.0
25,2,145,88,88,1.0
26,31,3,120,150,1.0
27,45,555,75,10,1.0
28,2,555,120,88,1.0
29,31,555,120,150,1.0
30,2,74,120,150,1.0
31,2,3,120,88,1.0
32,2,3,88,88,1.0
33,31,74,75,50,1.0
34,31,3,120,88,0.47058823529411775
34,31,74,120,88,0.0
34,31,145,120,88,0.0
34,31,555,120,88,0.5294117647058822
35,31,555,120,150,1.0
36,31,3,120,50,1.0
37,45,145,75,10,1.0
38,2,3,88,150,1.0
39,31,555,88,50,1.0
40,2,555,120,88,1.0
41,31,74,88,88,1.0
42,31,555,24,50,0.18181818181818185
42,31,555,75,50,0.2727272727272727
42,31,555,88,50,0.2727272727272727
42,31,555,120,50,0.2727272727272727
43,31,74,75,150,1.0
44,2,555,88,10,1.0
45,31,555,120,88,1.0
46,45,3,120,10,1.0
47,31,555,120,50,1.0
48,31,74,88,10,1.0
49,31,74,75,10,1.0
50,2,145,88,88,1.0
51,31,145,88,88,1.0
52,45,555,88,88,1.0
53,2,3,24,50,0.09090909090909091
53,2,3,75,50,0.2727272727272727
53,2,3,88,50,0.2727272727272727
53,2,3,120,50,0.36363636363636365
54,31,3,120,10,1.0
55,45,145,88,88,1.0
56,2,3,75,10,1.0
57,45,145,75,10,1.0
58,2,3,88,88,1.0
59,45,145,120,150,1.0
60,31,74,88,150,1.0
61,2,3,75,150,1.0
62,2,74,75,10,1.0
63,2,555,24,88,1.0
64,45,3,120,150,0.8421052631578948
64,45,74,120,150,0.0
64,45,145,120,150,0.0
64,45,555,120,150,0.15789473684210525
65,45,145,88,150,1.0
66,31,74,24,88,1.0
67,31,3,88,88,1.0
68,2,555,75,88,1.0
69,31,145,88,10,1.0
70,31,74,24,10,1.0
71,2,3,75,50,1.0
72,31,74,24,88,1.0
73,31,145,24,10,1.0
74,2,74,88,50,1.0
75,2,145,120,88,1.0
76,2,145,88,10,1.0
77,2,74,120,150,1.0
78,2,3,24,88,1.0
79,31,145,75,10,1.0
80,31,3,24,150,1.0
81,2,74,75,88,1.0
82,2,3,88,88,1.0
83,31,145,88,50,1.0
84,2,74,24,88,1.0
85,2,3,120,10,1.0
86,45,145,75,150,1.0
87,2,555,24,150,1.0
88,2,145,120,50,1.0
89,2,555,24,88,1.0
90,31,74,75,150,1.0
91,31,555,88,50,1.0
92,45,145,24,150,1.0
93,31,74,24,10,1.0
94,31,74,88,50,1.0
95,31,555,88,88,1.0
96,2,555,120,150,1.0
97,45,145,75,50,1.0
98,31,74,24,150,1.0
99,45,74,24,50,1.0
100,31,555,88,10,1.0
101,31,3,88,88,1.0
102,31,74,24,150,1.0
103,31,3,88,88,1.0
104,2,555,120,150,1.0
105,2,145,24,88,1.0
106,45,145,88,150,1.0
107,2,145,88,10,1.0
108,31,3,120,88,1.0
109,2,3,75,50,1.0
110,45,74,88,10,1.0
111,2,145,120,150,1.0
112,31,74,24,150,1.0
113,2,3,88,88,1.0
114,31,3,120,50,0.47058823529411775
114,31,74,120,50,0.0
114,31,145,120,50,0.0
114,31,555,120,50,0.5294117647058822
115,2,555,75,10,0.0
