A,B,IB
21,100,0
10,100,0
10,100,1
23,100,0
10,100,0
10,100,0
10,55,0
21,55,0
10,100,0
23,13,0
23,100,0
10,100,0
10,100,0
10,100,0
21,55,0
23,100,1
10,100,0
10,100,1
21,13,0
23,55,0
10,100,0
21,100,0
10,100,0
23,13,0
21,55,0
23,100,0
23,100,0
23,100,0
10,100,0
21,100,0
21,100,0
10,55,0
10,100,0
23,100,1
23,13,0
10,100,0
10,100,0
10,100,0
10,55,0
21,100,0
10,100,0
10,100,0
21,13,0
21,100,0
10,55,0
23,100,1
10,100,0
10,100,0
23,55,0
21,100,0
10,100,0
10,100,0
10,55,0
21,55,0
10,100,0
23,100,0
10,100,0
10,100,0
21,55,0
21,100,0
23,55,0
10,100,0
21,55,0
23,100,1
21,100,0
10,100,0
10,100,0
10,100,0
10,55,0
10,100,0
23,55,0
10,100,0
23,100,0
23,100,0
21,100,0
10,100,0
23,100,0
21,55,0
10,100,0
21,55,0
23,55,0
23,13,0
21,13,0
10,100,0
21,55,0
10,100,0
23,55,0
10,100,0
10,55,0
10,100,0
10,55,0
23,13,0
10,55,0
10,100,0
23,100,0
10,100,0
10,100,0
10,100,0
10,100,0
10,100,0
10,100,0
10,100,0
10,55,0
10,55,0
21,13,0
10,100,0
10,100,0
10,100,0
10,100,0
21,100,0
23,100,0
23,100,0
10,55,0
23,13,0
10,55,0
10,55,0
10,100,0
10,100,0
23,100,0
10,100,0
21,100,0
10,100,0
10,100,0
21,100,0
23,55,0
10,55,0
10,100,0
10,100,0
21,55,0
23,100,0
10,55,0
23,100,0
21,100,0
21,100,0
10,100,0
10,100,0
23,55,0
21,100,0
10,100,0
23,100,0
10,100,0
21,100,0
10,55,0
10,100,0
23,13,0
10,100,0
23,13,0
10,100,0
23,13,0
23,13,0
23,100,0
10,100,1
21,100,0
21,100,0
10,55,0
10,100,0
23,13,0
10,55,0
21,55,0
10,100,0
21,100,0
10,100,0
10,100,0
21,100,1
10,100,0
23,100,0
10,55,0
23,55,0
21,100,0
21,100,0
10,100,0
10,100,0
10,100,0
23,55,0
10,100,0
10,100,0
23,55,0
23,100,0
10,100,0
21,100,0
10,55,0
10,100,0
10,100,0
23,100,0
10,100,0
21,55,0
10,55,0
23,13,0
10,100,0
10,100,0
10,100,0
21,55,0
23,55,0
10,100,0
10,100,0
10,100,0
10,100,0
10,100,0
10,100,0
23,13,0
21,100,0
10,100,1
10,100,0
21,55,0
23,13,0
21,13,0
21,13,0
10,100,0
10,100,0
10,100,0
23,55,0
10,100,0
23,100,0
23,55,0
23,100,0
10,100,1
23,55,0
10,100,0
23,100,0
10,100,1
10,100,0
21,100,0
21,55,0
10,55,0
21,13,0
10,55,0
10,55,0
10,100,0
10,100,0
23,100,0
10,100,0
21,100,0
10,100,0
23,13,0
10,100,0
10,100,0
10,100,0
10,100,0
23,100,0
10,100,0
10,100,0
10,100,0
10,55,0
21,100,0
10,100,0
10,100,0
10,100,0
21,55,0
21,100,0
10,100,0
21,55,0
10,100,0
10,100,0
10,100,0
10,100,0
23,100,0
23,13,0
23,13,0
21,55,0
23,13,0
10,100,0
10,100,0
10,100,0
23,55,0
10,100,1
23,100,0
21,100,0
21,55,0
10,100,0
21,55,0
10,100,1
10,100,0
10,100,0
10,100,0
10,55,0
10,100,0
21,55,0
10,100,0
21,55,0
23,100,0
21,100,0
10,100,0
21,100,0
10,100,0
23,100,0
23,55,0
23,55,0
10,100,0
23,100,0
10,100,1
21,100,0
23,100,0
23,100,1
23,55,0
23,13,0
10,100,0
10,55,0
21,100,1
21,100,0
10,55,0
