block_id,A,B,probability
0,10,13,0
0,10,55,0
0,10,100,1
1,10,100,1
2,10,55,1
3,10,55,1
4,10,55,1
5,10,13,0
5,10,55,0
5,10,100,1
6,10,13,0
6,10,55,0
6,10,100,1
7,21,100,1
8,23,100,1
9,21,100,1
10,23,13,1
11,10,100,1
12,10,55,1
13,10,100,1
14,23,100,1
15,23,13,1
16,10,55,1
17,10,55,1
18,23,55,1
19,10,100,1
20,23,100,1
21,23,100,1
22,23,55,1
23,23,100,1
24,23,13,1
25,10,100,1
26,23,13,0
26,23,55,0
26,23,100,1
27,23,100,1
28,10,13,0
28,10,55,0
28,10,100,1
29,10,55,1
30,10,55,1
31,23,100,1
32,21,55,1
33,10,100,1
34,21,55,1
35,23,55,1
36,10,13,0
36,10,55,0
36,10,100,1
37,10,13,0
37,10,55,0
37,10,100,1
38,23,13,1
39,23,100,1
40,23,100,1
41,10,100,1
42,23,13,1
43,23,13,1
44,10,55,1
45,23,13,1
46,23,13,0
46,23,55,0
46,23,100,1
47,10,13,0
47,10,55,0
47,10,100,1
48,10,13,0
48,10,55,0
48,10,100,1
49,10,100,1
50,10,100,1
51,23,100,1
52,10,55,1
53,23,13,0
53,23,55,0
53,23,100,1
54,21,100,1
55,10,13,0
55,10,55,0
55,10,100,1
56,23,55,1
57,23,55,1
58,21,13,0
58,21,55,0
58,21,100,1
59,10,100,1
60,10,100,1
61,10,55,1
62,10,100,1
63,21,13,0
63,21,55,0
63,21,100,1
64,23,13,0
64,23,55,0
64,23,100,1
65,10,100,1
66,23,13,1
67,23,13,1
68,10,13,0
68,10,55,0
68,10,100,1
69,23,13,1
70,10,13,0
70,10,55,0
70,10,100,1
71,23,100,1
72,10,100,1
73,10,100,1
74,10,55,1
75,23,55,1
76,21,55,1
77,23,13,1
78,10,100,1
79,23,13,1
80,21,100,1
81,21,13,0
81,21,55,0
81,21,100,1
82,23,55,1
83,21,100,1
84,10,100,1
85,10,13,0
85,10,55,0
85,10,100,1
86,23,55,1
87,23,100,1
88,21,100,1
89,23,13,1
90,10,100,1
91,10,13,0
91,10,55,0
91,10,100,1
92,23,13,0
92,23,55,0
92,23,100,1
93,23,13,0
93,23,55,0
93,23,100,1
94,10,100,1
95,23,13,0
95,23,55,0
95,23,100,1
96,10,55,1
97,10,100,1
98,10,55,1
99,10,55,1
100,10,13,0
100,10,55,0
100,10,100,1
101,23,13,0
101,23,55,0
101,23,100,1
102,23,100,1
103,21,13,1
104,21,13,1
105,10,100,1
106,21,55,1
107,10,55,1
108,10,13,0
108,10,55,0
108,10,100,1
109,10,55,1
110,10,100,1
111,23,13,0
111,23,55,0
111,23,100,1
112,10,100,1
113,23,100,1
114,21,55,1
115,23,100,1
116,23,55,1
117,23,100,1
118,10,100,1
119,23,55,1
120,23,13,1
121,21,13,1
122,21,55,1
123,21,100,1
124,21,55,1
125,21,55,1
126,10,13,0
126,10,55,0
126,10,100,1
127,21,100,1
128,10,55,1
129,10,100,1
130,10,100,1
131,21,100,1
132,10,13,0
132,10,55,0
132,10,100,1
133,10,100,1
134,23,13,1
135,21,55,1
136,21,13,0
136,21,55,0
136,21,100,1
137,23,100,1
138,10,55,1
139,23,100,1
140,21,100,1
141,21,13,1
142,10,13,0
142,10,55,0
142,10,100,1
143,23,55,1
144,21,13,1
145,10,100,1
146,23,13,0
146,23,55,0
146,23,100,1
147,10,13,0
147,10,55,0
147,10,100,1
148,10,13,0
148,10,55,0
148,10,100,1
149,10,100,1
150,10,100,1
151,10,100,1
152,10,13,0
152,10,55,0
152,10,100,1
153,10,13,0
153,10,55,0
153,10,100,1
154,10,100,1
155,10,100,1
156,10,13,0
156,10,55,0
156,10,100,1
157,23,13,0
157,23,55,0
157,23,100,1
158,10,100,1
159,21,55,1
160,23,100,1
161,21,55,1
162,10,13,0
162,10,55,0
162,10,100,1
163,10,100,1
164,10,13,0
164,10,55,0
164,10,100,1
165,10,100,1
166,21,13,1
167,10,13,0
167,10,55,0
167,10,100,1
168,23,13,1
169,10,55,1
170,23,55,1
171,23,100,1
172,23,13,0
