A,B,C,IB
12,56,3,0
1,13,1,1
1,13,3,1
1,56,4,0
46,103,2,1
24,200,3,0
24,350,1,0
35,200,2,0
46,13,4,0
12,56,2,1
1,350,1,0
23,350,4,0
35,56,3,1
1,103,2,1
1,103,3,0
46,13,4,1
1,13,3,1
46,56,4,0
12,103,1,1
1,56,4,1
46,13,4,0
1,56,4,1
1,13,4,0
24,103,1,0
35,56,4,0
12,13,3,1
46,200,3,1
12,200,4,0
12,13,1,1
35,13,3,0
1,56,4,0
46,200,4,1
46,13,3,1
1,350,4,1
24,200,1,1
23,200,1,0
35,200,3,1
12,200,1,0
24,56,1,0
12,56,3,1
35,13,3,0
46,13,4,0
1,200,4,0
35,13,3,0
1,56,1,0
1,13,4,1
12,56,4,0
46,13,1,1
35,13,4,0
35,13,1,0
46,350,2,0
12,103,1,0
35,200,3,0
35,200,1,0
35,350,2,0
35,200,4,1
35,13,3,1
46,13,3,1
35,13,3,0
1,13,4,0
35,200,1,0
46,13,4,0
12,13,3,0
1,13,4,0
46,350,1,0
46,13,4,1
1,103,2,1
35,13,3,0
12,56,3,1
23,13,1,1
24,56,1,1
46,13,1,0
24,13,1,0
35,350,3,0
46,103,3,0
12,103,4,0
46,13,4,0
24,103,1,0
1,13,4,0
12,56,4,1
1,56,4,1
12,200,2,0
12,56,4,0
46,56,3,0
35,200,2,0
12,13,3,0
12,56,2,1
1,13,4,1
1,350,4,1
46,56,4,1
1,56,4,1
35,350,3,0
35,13,4,0
35,13,3,0
12,103,3,1
46,13,3,0
12,350,4,0
46,350,1,1
46,103,1,0
35,13,3,1
46,200,4,0
1,56,1,0
46,13,3,0
46,13,3,0
35,56,3,0
12,350,1,0
12,13,4,0
46,350,3,0
46,13,4,0
1,13,4,0
12,13,3,1
23,13,4,1
1,13,4,1
35,103,3,1
12,103,4,1
12,13,3,0
46,56,1,0
23,13,4,1
46,56,4,0
24,103,1,0
12,13,4,0
35,13,3,0
12,200,1,0
46,56,4,1
12,13,3,0
12,56,2,0
46,13,1,1
12,13,1,0
46,13,3,0
46,13,4,0
1,56,1,0
46,13,4,0
1,13,4,0
1,13,3,0
1,56,4,0
1,103,4,1
1,13,4,0
24,13,1,0
1,13,4,1
46,350,3,0
35,103,3,0
1,200,2,0
12,56,1,0
35,13,1,0
46,350,4,0
35,13,3,0
1,13,4,0
46,56,4,1
35,200,1,0
35,13,4,0
46,56,3,0
35,103,1,0
12,103,1,0
35,13,3,1
35,13,3,1
1,13,4,1
12,13,2,0
12,13,2,0
1,13,3,0
35,103,1,1
35,13,4,0
23,350,2,0
24,13,3,1
23,200,4,1
23,13,1,0
12,13,3,0
23,103,1,0
46,13,4,1
46,350,2,0
35,13,3,0
35,56,1,1
1,56,3,0
12,13,1,0
1,13,3,0
23,350,1,0
35,56,2,0
23,350,1,1
1,200,4,0
12,13,1,1
46,56,2,1
46,56,3,0
23,56,1,0
46,13,1,0
24,200,4,0
46,13,4,1
12,350,1,0
23,56,1,1
35,350,1,0
1,350,1,1
12,350,2,0
24,103,1,0
35,13,3,0
46,13,4,1
24,200,1,0
23,56,1,0
23,103,1,0
1,103,1,0
1,13,3,0
35,200,1,0
12,13,2,0
1,56,4,0
24,103,1,0
1,13,1,1
1,13,2,0
24,200,4,0
35,13,3,0
46,200,1,1
35,103,4,1
35,200,4,0
35,13,4,0
35,13,3,0
12,103,1,0
46,56,4,0
23,13,4,0
24,56,2,0
46,200,2,0
35,56,1,0
46,56,3,1
12,13,1,0
12,56,4,1
24,56,1,1
1,200,2,0
12,350,3,1
12,103,1,0
35,13,1,0
1,56,4,0
35,13,4,0
12,350,3,1
1,103,3,0
35,56,3,0
24,13,3,1
46,13,3,0
46,200,4,0
46,13,1,0
12,103,4,0
35,13,3,1
46,56,4,0
23,103,4,0
12,13,1,1
46,350,3,1
24,350,2,0
12,13,3,0
35,13,3,0
35,56,4,0
1,13,4,0
1,350,2,0
35,13,3,0
12,350,2,1
35,13,3,0
12,13,3,0
12,200,3,1
23,13,1,1
35,56,3,0
35,13,3,0
35,13,2,0
46,13,3,0
35,350,4,1
1,200,2,1
46,350,3,0
1,13,3,0
1,103,4,1
23,200,2,1
12,200,3,0
1,103,1,0
12,13,1,0
24,13,4,0
12,350,2,1
35,103,4,0
12,13,3,1
46,13,4,0
35,13,3,1
1,13,4,0
46,103,4,0
35,13,3,0
1,13,4,0
24,56,4,0
1,13,3,0
12,103,2,0
12,200,1,0
24,200,1,1
12,200,1,0
12,350,4,0
12,13,3,0
1,13,1,0
12,350,3,0
1,103,1,0
1,13,4,0
23,350,2,0
23,103,1,1
35,103,1,0
23,103,1,0
1,13,4,1
24,13,4,1
12,350,1,0
35,103,3,0
35,103,3,0
23,103,1,0
23,13,1,0
35,56,4,0
1,103,2,1
