A,B,C
56,234,43
2,12,89
56,234,89
77,12,78
77,99,89
2,12,78
56,134,43
56,12,89
56,234,89
2,99,89
56,134,123
56,134,43
44,99,89
56,234,43
2,99,78
56,99,43
56,234,78
56,234,123
56,12,123
56,234,89
77,12,123
44,134,89
2,134,78
56,234,89
77,12,123
77,12,89
2,134,89
77,12,89
56,234,89
44,99,78
77,12,89
2,134,89
2,134,43
44,134,43
2,134,123
77,12,89
2,99,123
44,99,78
77,99,89
77,12,89
44,134,43
56,234,123
2,99,123
44,99,89
77,234,123
44,134,89
2,12,43
56,99,89
56,134,89
77,134,78
2,99,123
56,234,78
44,234,123
56,134,89
44,12,78
56,134,89
77,99,123
2,134,43
2,234,89
56,234,89
56,234,89
44,134,123
77,12,78
56,234,89
77,12,123
77,12,123
56,99,89
2,12,78
44,99,89
56,134,89
2,134,78
2,12,78
56,234,89
56,234,43
2,99,43
44,99,123
56,99,89
56,234,89
2,134,78
44,99,89
2,134,78
56,234,89
44,99,123
2,134,89
77,12,78
44,134,78
77,99,123
44,99,89
56,234,43
56,99,43
2,234,123
2,12,123
44,99,43
2,134,78
44,134,43
2,134,89
56,134,43
77,12,89
77,12,89
56,99,89
2,234,89
77,134,89
77,99,123
56,234,89
77,99,123
44,99,43
2,134,78
2,134,123
44,234,123
77,134,89
56,234,123
2,134,78
56,234,43
2,12,78
2,12,89
56,234,123
77,134,123
56,12,123
2,134,78
77,99,43
2,134,78
2,134,78
77,234,89
2,12,89
56,234,43
44,99,78
56,99,78
2,12,78
2,12,123
2,134,123
44,99,123
44,99,89
56,99,89
2,234,78
56,234,78
44,134,43
56,234,43
77,12,89
77,12,89
2,12,89
77,134,123
77,234,89
2,134,78
56,234,123
56,134,89
2,12,78
44,234,43
77,12,123
2,12,123
2,12,89
56,134,43
2,234,89
2,134,78
44,12,89
56,134,123
2,12,43
77,134,123
2,12,89
77,12,123
44,99,123
77,12,123
77,99,89
56,234,43
2,134,78
44,234,89
56,12,43
44,134,89
44,134,43
56,134,123
44,234,78
77,134,89
56,134,43
56,99,89
56,234,89
56,234,43
44,99,43
56,234,78
77,234,43
44,134,78
77,12,89
56,99,89
44,134,43
44,134,89
56,234,43
2,134,78
56,234,123
44,134,123
56,12,89
56,234,89
44,99,123
2,99,43
2,134,43
2,134,78
2,234,123
44,99,123
56,12,123
77,134,123
56,234,78
77,12,123
77,134,89
56,99,43
77,12,123
56,12,43
56,12,123
56,12,43
56,134,89
77,12,78
44,99,78
2,12,123
44,234,89
77,134,123
44,99,123
56,234,78
77,12,43
56,234,123
77,12,89
44,134,123
2,12,78
44,99,89
56,234,43
77,12,43
56,234,123
56,234,43
2,234,78
77,12,89
2,234,89
44,234,78
77,12,123
77,12,78
44,99,78
56,12,43
44,99,89
2,12,78
56,12,43
56,234,89
77,134,89
44,234,89
2,134,123
2,99,78
77,234,43
44,99,123
44,134,89
56,99,89
77,134,123
2,12,123
56,234,43
2,134,89
56,134,123
56,234,89
56,99,43
56,134,89
77,12,123
44,99,123
56,234,43
2,12,43
44,134,43
56,134,43
56,99,89
2,99,123
2,12,89
56,99,43
77,12,123
77,134,89
56,99,78
2,134,78
2,12,43
56,12,89
56,234,78
2,134,78
56,12,43
56,234,43
2,99,43
2,134,78
