A,B_star,C
53,345.0,789
53,147.0,789
589,33.0,789
254,345.0,65
254,,41
21,345.0,65
589,345.0,254
254,345.0,41
589,33.0,789
21,147.0,254
21,147.0,41
254,147.0,789
53,147.0,254
53,345.0,254
254,94.0,41
21,147.0,41
254,94.0,41
21,94.0,254
254,147.0,41
589,147.0,789
53,147.0,65
254,345.0,254
53,345.0,41
254,94.0,254
21,94.0,789
53,345.0,41
589,200.0,789
589,147.0,254
589,345.0,41
254,147.0,789
254,200.0,41
589,,65
21,94.0,41
21,345.0,65
53,33.0,41
589,345.0,789
589,33.0,254
53,147.0,65
53,200.0,65
53,147.0,41
53,,65
254,94.0,41
254,94.0,65
589,33.0,65
53,200.0,254
53,147.0,254
53,147.0,41
589,147.0,789
21,33.0,254
53,147.0,41
21,33.0,65
53,,65
53,,65
21,33.0,789
589,345.0,789
21,345.0,65
589,345.0,41
53,345.0,41
21,147.0,65
254,94.0,789
53,147.0,254
53,200.0,65
254,200.0,65
53,147.0,789
21,345.0,41
589,200.0,789
21,345.0,41
254,94.0,65
21,94.0,65
53,33.0,789
53,147.0,254
53,200.0,65
589,33.0,65
254,147.0,41
254,94.0,65
589,33.0,789
21,33.0,41
589,33.0,65
53,147.0,65
53,147.0,41
589,200.0,789
254,94.0,41
53,,789
21,345.0,65
53,147.0,254
53,147.0,65
53,345.0,41
254,,789
589,200.0,254
589,200.0,41
589,33.0,65
254,33.0,65
21,33.0,789
254,147.0,254
589,147.0,789
21,147.0,41
21,94.0,41
53,147.0,41
589,33.0,789
254,200.0,41
53,147.0,65
53,200.0,789
53,345.0,65
589,200.0,254
53,345.0,65
254,33.0,65
589,33.0,254
53,147.0,41
53,200.0,65
254,33.0,41
254,200.0,254
254,147.0,789
21,94.0,65
21,345.0,65
254,94.0,789
254,200.0,41
254,,789
589,345.0,789
53,345.0,65
254,94.0,65
589,345.0,65
254,147.0,41
589,345.0,65
589,33.0,65
589,,789
254,147.0,789
53,147.0,41
21,33.0,41
254,94.0,65
21,147.0,41
589,33.0,789
53,33.0,254
21,94.0,41
53,33.0,41
53,,65
53,147.0,41
53,147.0,65
53,147.0,65
21,345.0,65
589,147.0,789
53,147.0,41
53,345.0,254
254,147.0,65
254,147.0,65
21,94.0,254
21,94.0,65
254,147.0,41
589,345.0,254
53,345.0,789
254,94.0,41
53,147.0,65
53,147.0,789
53,345.0,65
21,33.0,789
53,200.0,254
53,345.0,789
53,345.0,65
589,345.0,789
589,33.0,65
53,345.0,65
53,147.0,65
589,33.0,41
53,147.0,41
21,345.0,65
589,33.0,254
53,147.0,254
254,200.0,65
21,33.0,254
53,345.0,254
53,345.0,41
53,345.0,65
21,94.0,789
254,147.0,65
254,147.0,65
254,147.0,41
21,147.0,254
21,147.0,254
254,345.0,41
53,200.0,41
53,33.0,254
589,200.0,65
589,33.0,254
53,345.0,65
254,147.0,65
21,345.0,41
254,94.0,41
254,33.0,789
53,345.0,41
53,345.0,254
254,147.0,41
53,33.0,254
21,345.0,254
21,94.0,65
53,147.0,65
21,33.0,254
589,33.0,41
53,345.0,41
21,147.0,65
589,33.0,65
589,200.0,65
254,94.0,65
589,345.0,789
21,,65
21,147.0,65
53,345.0,254
53,345.0,65
254,33.0,41
53,345.0,254
589,147.0,41
21,345.0,65
53,147.0,41
53,200.0,789
53,345.0,254
53,,41
21,,254
589,200.0,254
254,147.0,41
53,200.0,254
21,33.0,254
53,345.0,41
21,147.0,65
21,147.0,254
21,94.0,41
254,200.0,65
53,147.0,254
589,345.0,65
21,94.0,65
53,33.0,65
254,147.0,41
21,33.0,254
53,147.0,41
254,94.0,65
21,94.0,65
589,,789
254,94.0,254
21,345.0,65
53,345.0,254
254,200.0,41
21,33.0,789
589,200.0,254
254,147.0,65
254,147.0,41
589,345.0,65
21,94.0,789
254,200.0,65
254,345.0,65
254,147.0,41
21,33.0,65
53,345.0,65
254,147.0,254
53,33.0,41
589,147.0,789
53,345.0,65
254,147.0,254
53,147.0,254
254,147.0,41
21,94.0,65
254,94.0,65
254,147.0,254
254,33.0,65
53,147.0,254
254,200.0,41
589,147.0,41
589,33.0,41
589,147.0,789
53,147.0,41
53,345.0,41
254,94.0,65
53,345.0,254
53,147.0,65
53,345.0,65
53,33.0,789
53,200.0,65
21,,65
53,345.0,65
21,33.0,789
254,94.0,254
53,345.0,41
53,147.0,41
589,33.0,41
21,94.0,65
53,147.0,789
53,,65
53,147.0,65
254,345.0,41
53,147.0,789
254,94.0,65
53,147.0,41
589,33.0,789
21,94.0,65
254,200.0,254
53,147.0,789
53,147.0,254
589,345.0,789
53,345.0,65
53,,65
53,345.0,254
53,200.0,41
53,147.0,41
254,94.0,41
254,200.0,41
53,200.0,65
53,,254
589,200.0,789
53,33.0,65
53,147.0,65
254,94.0,65
53,147.0,41
53,147.0,41
53,,65
589,33.0,254
589,200.0,789
21,33.0,65
53,147.0,41
589,345.0,254
53,147.0,65
21,147.0,41
53,147.0,65
53,147.0,65
589,33.0,41
53,147.0,65
254,,254
589,147.0,65
21,94.0,65
53,147.0,65
53,147.0,65
254,147.0,254
53,,41
21,147.0,65
53,33.0,65
53,147.0,65
589,33.0,41
53,33.0,65
53,147.0,65
589,147.0,41
53,,65
254,345.0,65
53,345.0,65
254,200.0,41
589,,41
21,,254
21,,254
21,,65
53,345.0,254
53,200.0,789
589,33.0,41
254,200.0,65
589,33.0,789
21,94.0,254
589,33.0,789
53,345.0,41
254,345.0,41
254,147.0,789
53,200.0,65
53,345.0,789
589,200.0,254
21,345.0,65
254,94.0,65
53,147.0,254
589,33.0,41
254,345.0,254
53,147.0,789
589,33.0,254
254,147.0,254
53,147.0,789
254,200.0,254
21,94.0,254
53,200.0,41
254,345.0,65
254,33.0,41
53,147.0,41
21,147.0,41
53,33.0,254
589,345.0,41
53,33.0,789
53,345.0,41
53,,254
254,94.0,41
589,345.0,254
21,147.0,41
53,200.0,65
21,94.0,41
589,147.0,789
53,345.0,789
53,33.0,41
21,147.0,65
21,147.0,65
53,200.0,789
53,200.0,65
53,,65
21,345.0,65
589,345.0,41
53,200.0,41
53,345.0,65
254,200.0,41
53,345.0,789
589,200.0,65
589,200.0,789
21,147.0,41
53,147.0,65
589,33.0,65
53,147.0,254
21,94.0,41
53,147.0,41
589,33.0,254
589,345.0,789
589,,41
21,94.0,254
53,345.0,65
53,345.0,789
53,147.0,789
53,200.0,65
589,200.0,41
53,33.0,41
254,33.0,789
53,,65
53,147.0,65
254,94.0,41
21,94.0,41
53,345.0,65
53,33.0,41
589,345.0,41
53,,41
53,147.0,41
53,147.0,41
21,147.0,65
53,147.0,41
589,33.0,254
589,,789
21,33.0,41
21,94.0,65
53,33.0,789
53,345.0,41
53,147.0,254
589,33.0,789
254,,41
589,33.0,65
589,147.0,789
53,147.0,65
53,147.0,41
21,94.0,789
589,200.0,254
53,345.0,65
254,33.0,65
21,33.0,789
589,33.0,41
21,94.0,254
53,200.0,65
254,147.0,41
21,345.0,65
53,345.0,41
21,345.0,789
53,345.0,789
53,147.0,41
254,33.0,41
53,200.0,254
21,147.0,65
53,147.0,41
254,94.0,65
53,33.0,254
21,345.0,789
254,,65
53,200.0,789
53,147.0,789
254,147.0,254
53,147.0,65
589,33.0,789
254,147.0,41
589,33.0,65
53,345.0,65
589,147.0,65
254,33.0,65
589,200.0,65
21,94.0,65
53,,789
21,94.0,65
53,345.0,65
589,200.0,789
53,,65
589,33.0,789
254,147.0,41
21,94.0,254
254,200.0,41
53,147.0,254
53,147.0,254
254,94.0,41
53,147.0,65
21,94.0,254
254,345.0,65
53,200.0,41
53,200.0,41
254,147.0,65
53,147.0,789
53,147.0,65
53,147.0,65
589,33.0,65
53,345.0,41
589,33.0,789
589,33.0,254
53,200.0,65
53,200.0,65
589,33.0,65
21,345.0,65
53,345.0,65
53,147.0,254
21,94.0,41
21,94.0,41
589,200.0,254
254,94.0,254
53,147.0,41
589,147.0,65
21,33.0,65
53,200.0,65
589,33.0,254
589,33.0,789
53,147.0,254
53,147.0,254
21,147.0,65
53,33.0,41
53,147.0,254
589,,254
21,345.0,65
254,94.0,65
589,147.0,789
53,147.0,41
53,147.0,789
53,345.0,41
21,345.0,41
21,94.0,41
53,200.0,65
254,,65
21,345.0,789
254,94.0,65
53,345.0,65
21,147.0,789
254,94.0,65
589,147.0,41
254,147.0,65
53,147.0,254
53,,254
589,33.0,254
254,147.0,41
589,33.0,65
53,33.0,41
53,345.0,789
53,33.0,65
21,33.0,65
254,94.0,254
53,147.0,65
53,200.0,65
589,345.0,65
53,147.0,41
53,33.0,65
53,147.0,65
53,147.0,41
53,200.0,789
589,33.0,41
589,345.0,254
53,33.0,254
