A,B,C,IC,IB
56,155,356,1,0
21,155,178,1,1
21,155,45,0,0
34,198,356,0,0
21,12,98,0,0
34,12,178,0,1
34,198,356,0,0
56,198,98,0,0
56,198,356,0,0
34,12,356,0,0
21,45,178,0,0
56,155,178,0,1
34,45,178,0,0
34,45,356,0,0
56,198,356,0,0
78,198,356,0,0
78,155,45,0,0
21,155,178,0,0
21,12,178,0,0
34,45,178,0,0
56,45,45,0,0
56,12,45,0,0
21,155,45,0,0
21,155,45,1,0
78,12,178,0,0
34,45,178,0,1
56,45,356,1,0
56,12,356,1,0
56,12,45,0,0
56,198,178,0,0
21,12,98,0,0
34,45,178,0,0
78,155,178,0,0
21,12,98,0,0
56,198,356,1,0
21,12,356,0,0
78,155,356,0,0
56,12,178,0,0
21,45,356,0,0
56,12,178,0,1
56,12,98,0,0
21,12,178,0,0
34,155,356,0,0
34,12,45,0,0
56,155,356,0,0
21,198,356,0,0
56,198,356,0,0
21,12,98,1,0
78,155,356,1,0
56,155,356,0,0
78,198,178,0,1
56,12,356,0,0
34,12,178,0,0
34,45,98,0,0
78,198,178,0,0
78,155,178,1,0
56,198,98,0,0
56,198,178,0,0
21,12,178,0,0
56,155,178,0,0
56,198,98,1,0
78,12,178,0,1
21,198,356,0,0
56,45,178,1,1
34,155,356,0,0
56,198,356,0,0
56,45,178,0,1
56,155,178,0,0
56,12,178,0,1
56,198,45,0,0
21,155,178,0,1
21,155,356,1,0
78,12,356,1,0
78,198,178,0,0
78,155,356,0,0
21,45,98,0,0
56,45,178,0,1
21,12,178,1,0
21,12,178,1,0
21,12,98,1,0
56,198,356,0,0
34,12,356,0,0
21,12,356,1,0
21,12,98,0,0
56,198,356,0,0
21,12,178,1,1
21,12,178,1,0
56,12,45,1,0
21,155,98,1,0
21,155,45,0,0
78,198,178,0,0
34,45,356,0,0
21,45,45,0,0
56,155,45,0,0
56,155,178,1,0
78,198,98,0,0
56,155,356,1,0
56,155,356,0,0
21,155,178,1,0
34,45,178,0,0
21,155,178,0,0
21,155,356,0,0
21,12,98,0,0
21,12,356,1,0
56,198,356,0,0
78,12,356,0,0
78,155,178,1,1
21,155,178,0,0
21,12,98,1,0
56,155,178,1,0
56,198,356,1,0
56,12,178,0,1
56,12,45,0,0
21,12,45,1,0
78,155,356,0,0
34,45,356,0,0
34,45,45,0,0
34,155,98,0,0
56,198,356,1,0
78,198,356,0,0
34,45,178,0,1
78,12,45,0,0
78,12,98,1,0
78,198,45,0,0
56,12,98,0,0
21,12,178,1,0
78,155,178,0,0
21,155,178,0,1
78,155,178,1,0
34,45,178,0,1
56,198,45,0,0
78,155,356,0,0
56,155,45,1,0
34,45,178,0,0
56,12,98,0,0
56,12,178,0,0
34,155,178,0,0
21,155,178,1,0
21,12,178,0,1
21,155,45,0,0
78,198,98,0,0
34,12,178,0,1
21,12,98,0,0
21,12,178,0,0
34,12,45,0,0
56,12,178,0,1
21,12,98,0,0
56,12,356,0,0
56,45,178,1,0
78,155,356,1,0
78,155,178,0,0
56,12,45,1,0
21,198,356,0,0
56,45,178,0,0
56,198,356,1,0
56,198,45,0,0
78,155,45,0,0
21,155,178,1,1
56,155,356,0,0
34,45,45,0,0
56,12,356,0,0
78,198,178,0,0
34,45,356,0,0
56,45,45,0,0
21,12,356,0,0
34,155,178,0,1
56,155,45,0,0
34,198,356,0,0
34,155,178,0,0
56,198,356,0,0
78,198,356,0,0
21,12,98,0,0
21,155,45,0,0
78,155,178,0,0
21,45,45,0,0
34,12,178,0,1
78,155,356,1,0
21,155,178,0,0
21,155,356,0,0
78,198,178,0,1
21,12,178,0,0
21,155,178,0,0
34,45,45,0,0
21,155,178,0,0
21,155,98,1,0
56,198,178,0,1
78,198,356,0,0
34,45,356,0,0
21,12,178,0,1
56,155,356,0,0
56,198,178,1,0
21,155,45,0,0
78,12,98,0,0
56,198,178,1,1
56,155,45,0,0
78,155,356,0,0
34,45,356,0,0
78,155,98,0,0
21,12,178,1,0
56,12,178,1,0
21,155,45,0,0
34,155,356,0,0
78,198,98,1,0
34,45,178,0,1
56,155,178,0,1
56,12,178,0,0
56,198,45,0,0
56,155,178,0,0
21,155,45,0,0
56,155,356,0,0
56,198,45,0,0
21,12,178,1,0
56,12,178,0,0
78,12,98,0,0
21,12,98,1,0
56,155,178,1,0
56,12,178,0,0
21,12,98,0,0
21,198,98,0,0
56,45,45,0,0
21,155,178,1,0
21,12,178,0,0
21,12,98,0,0
34,45,178,0,0
78,155,356,0,0
34,45,356,0,0
56,155,178,0,0
56,155,45,0,0
21,155,45,0,0
34,12,45,0,0
78,198,356,0,0
34,155,356,0,0
21,12,356,1,0
78,12,45,1,0
78,198,356,0,0
21,155,45,1,0
56,155,356,0,0
56,12,178,0,0
21,155,45,0,0
78,155,356,0,0
56,155,98,1,0
78,155,98,0,0
34,45,45,0,0
56,12,178,0,0
78,155,98,0,0
56,198,98,1,0
78,12,356,0,0
56,198,356,1,0
34,155,356,0,0
34,45,98,0,0
78,12,45,0,0
56,198,45,0,0
21,155,45,0,0
78,155,178,0,0
21,12,98,0,0
21,155,356,1,0
56,155,178,0,0
56,198,45,0,0
78,198,356,1,0
34,45,45,0,0
21,198,356,0,0
78,198,356,0,0
21,155,356,0,0
34,198,178,0,1
56,155,45,0,0
78,198,356,1,0
56,198,356,1,0
21,155,356,0,0
21,198,98,1,0
56,155,356,1,0
21,12,178,0,1
78,198,178,1,0
34,45,178,0,0
56,198,178,0,1
56,198,45,0,0
56,12,98,0,0
78,12,178,1,0
56,12,98,0,0
56,155,45,1,0
34,45,356,0,0
56,155,178,0,0
34,45,178,0,0
56,155,356,0,0
78,155,45,1,0
21,155,356,0,0
78,155,45,1,0
34,12,178,0,1
21,198,45,0,0
34,155,356,0,0
21,45,356,0,0
34,12,45,0,0
21,12,178,0,0
34,198,356,0,0
34,45,356,0,0
21,12,178,0,0
21,155,356,1,0
34,12,356,0,0
34,45,45,0,0
78,155,45,0,0
78,155,45,0,0
