block_id,A,B,C,probability
0,31,145,24,1.0
1,2,3,88,1.0
2,2,555,24,0.1
2,2,555,75,0.2
2,2,555,88,0.3
2,2,555,120,0.4
3,31,555,24,1.0
4,45,3,24,0.0
4,45,74,24,0.0
4,45,145,24,0.0
4,45,555,24,0.0
4,45,3,75,0.0
4,45,74,75,0.0
4,45,145,75,0.0
4,45,555,75,0.0
4,45,3,88,0.26666666666666666
4,45,74,88,0.06666666666666667
4,45,145,88,0.26666666666666666
4,45,555,88,0.06666666666666667
4,45,3,120,0.13333333333333333
4,45,74,120,0.03333333333333333
4,45,145,120,0.13333333333333333
4,45,555,120,0.03333333333333333
5,2,3,88,0.3
5,2,74,88,0.2
5,2,145,88,0.3
5,2,555,88,0.2
6,2,3,88,0.3
6,2,74,88,0.2
6,2,145,88,0.3
6,2,555,88,0.2
7,2,74,120,1.0
8,31,3,24,1.0
9,31,3,24,0.0
9,31,74,24,0.0
9,31,145,24,0.0
9,31,555,24,0.0
9,31,3,75,0.0
9,31,74,75,0.0
9,31,145,75,0.0
9,31,555,75,0.0
9,31,3,88,0.13333333333333333
9,31,74,88,0.19999999999999998
9,31,145,88,0.13333333333333333
9,31,555,88,0.19999999999999998
9,31,3,120,0.06666666666666667
9,31,74,120,0.09999999999999999
9,31,145,120,0.06666666666666667
9,31,555,120,0.09999999999999999
10,31,74,24,0.4000000000000001
10,31,74,75,0.30000000000000004
10,31,74,88,0.20000000000000004
10,31,74,120,0.10000000000000002
11,2,3,88,0.3
11,2,74,88,0.2
11,2,145,88,0.3
11,2,555,88,0.2
12,2,3,88,0.3
12,2,74,88,0.2
12,2,145,88,0.3
12,2,555,88,0.2
13,31,555,24,1.0
14,31,74,24,1.0
15,2,3,120,1.0
16,2,3,120,0.3
16,2,74,120,0.2
16,2,145,120,0.3
16,2,555,120,0.2
17,45,3,88,1.0
18,31,3,24,0.4000000000000001
18,31,3,75,0.30000000000000004
18,31,3,88,0.20000000000000004
18,31,3,120,0.10000000000000002
19,45,145,24,1.0
20,2,145,120,1.0
21,31,3,75,1.0
22,45,3,88,0.4
22,45,74,88,0.1
22,45,145,88,0.4
22,45,555,88,0.1
23,2,3,88,0.3
23,2,74,88,0.2
23,2,145,88,0.3
23,2,555,88,0.2
24,2,74,120,1.0
25,2,145,88,1.0
26,2,74,88,1.0
27,31,74,75,1.0
28,2,145,88,1.0
29,31,145,75,1.0
30,31,74,24,0.4000000000000001
30,31,74,75,0.30000000000000004
30,31,74,88,0.20000000000000004
30,31,74,120,0.10000000000000002
31,31,74,24,1.0
32,31,3,88,0.2
32,31,74,88,0.3
32,31,145,88,0.2
32,31,555,88,0.3
33,2,145,24,0.1
33,2,145,75,0.2
33,2,145,88,0.3
33,2,145,120,0.4
34,45,3,88,0.4
34,45,74,88,0.1
34,45,145,88,0.4
34,45,555,88,0.1
35,2,3,75,1.0
36,31,3,24,0.4000000000000001
36,31,3,75,0.30000000000000004
36,31,3,88,0.20000000000000004
36,31,3,120,0.10000000000000002
37,31,145,24,1.0
38,2,3,75,1.0
39,45,3,24,1.0
40,31,3,24,1.0
41,31,555,24,1.0
42,45,3,88,0.4
42,45,74,88,0.1
42,45,145,88,0.4
42,45,555,88,0.1
43,45,145,75,1.0
44,2,145,75,1.0
45,2,3,88,0.3
45,2,74,88,0.2
45,2,145,88,0.3
45,2,555,88,0.2
46,31,74,75,1.0
47,45,3,88,1.0
48,31,3,24,0.0
48,31,74,24,0.0
48,31,145,24,0.0
48,31,555,24,0.0
48,31,3,75,0.0
48,31,74,75,0.0
48,31,145,75,0.0
48,31,555,75,0.0
48,31,3,88,0.13333333333333333
48,31,74,88,0.19999999999999998
48,31,145,88,0.13333333333333333
